Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
ORI,"Old Republic International Corp",16.36,0.31,+1.93%,16.37,15.92,544522,"11:19 ET"
OSK,"Oshkosh Truck Corp",71.79,0.31,+0.43%,72.45,70.76,56826,"11:20 ET"
OZK,"Bank Ozk",23.16,0.6,+2.66%,23.2,22.51,241236,"11:20 ET"
PACW,"Pacwest Bancorp",19.57,0.67,+3.54%,19.62,18.6,309859,"11:20 ET"
PB,"Prosperity Bancshares",59.18,1.51,+2.62%,59.19,57.31,64129,"11:20 ET"
PBF,"PBF Energy Inc",9.65,0.040000000000001,+0.42%,9.68,9.14,1088709,"11:21 ET"
PBH,"Prestige Brand Holdings",37.22,0.59,+1.61%,37.48,34.9,517815,"11:20 ET"
PCH,"Potlatch Cp",38.48,0.75,+1.99%,38.61,37.53,64017,"11:20 ET"
PCTY,"Paylocity Hld Corp",144.5,4.94,+3.54%,144.5,138.95,82987,"11:21 ET"
PDCO,"Patterson Companies",22.26,-0.24,-1.07%,22.64,22.18,218298,"11:21 ET"
PEB,"Pebblebrook Hotel Trust",14,0.029999999999999,+0.21%,14.19,13.51,217371,"11:20 ET"
PEN,"Penumbra Inc",176.38,4,+2.32%,176.51,173.23,49023,"11:19 ET"
PENN,"Penn Natl Gaming Inc",30.75,0.97,+3.26%,31.4,29.06,4883099,"11:21 ET"
PII,"Polaris Industries Inc",93.35,1.09,+1.18%,93.35,91.19,65527,"11:17 ET"
PK,"Park Hotels & Resorts Inc",10.04,-0.090000000000002,-0.89%,10.26,9.73,2064631,"11:21 ET"
PNFP,"Pinnacle Finl Ptnrs",42,0.9,+2.19%,42.36,39.71,108619,"11:19 ET"
PNM,"PNM Resources Inc",38.9,0.47,+1.22%,38.9,38.17,48104,"11:20 ET"
POL,"Polyone Corp",26.35,0.34,+1.31%,26.45,25.55,118935,"11:21 ET"
POOL,"Pool Corp",269.85,4.06,+1.53%,269.85,265.06,32291,"11:15 ET"
POST,"Post Holdings Inc",87.42,-0.28,-0.32%,87.96,86.81,57377,"11:15 ET"
PPC,"Pilgrim's Pride",16.92,0.61,+3.74%,17.02,16.27,305776,"11:20 ET"
PRAH,"Pra Health",96.31,2.36,+2.51%,96.49,93.48,28339,"11:18 ET"
PRI,"Primerica Inc",116.11,2.19,+1.92%,116.62,113.91,22229,"11:20 ET"
PRSP,"Perspecta Inc",23.16,0.23,+1.00%,23.16,22.69,167454,"11:20 ET"
PSB,"Business Parks",133.04,2.76,+2.12%,133.46,129.92,14419,"11:20 ET"
PTC,"Ptc Inc",77.54,1.1,+1.44%,77.63,75.74,108162,"11:21 ET"
PZZA,"Papa John's Intl",78.3,-0.079999999999998,-0.10%,78.82,75.76,255795,"11:21 ET"
R,"Ryder System",37.14,0.42,+1.14%,37.26,36.14,51600,"11:21 ET"
RAMP,"Liveramp Holdings Inc",43.01,0.71,+1.68%,43.14,41.7,223496,"11:18 ET"
RBC,"Regal-Beloit Corp",87.31,1.48,+1.72%,87.41,85.17,22261,"11:18 ET"
REZI,"Resideo Technologies Inc",11.49,0.14,+1.23%,11.59,11.06,235394,"11:21 ET"
RGA,"Reinsurance Group of America Inc",78.02,1.93,+2.54%,78.42,75.27,150702,"11:17 ET"
RGEN,"Repligen Cp",120.8,1.71,+1.44%,122.69,119.09,170217,"11:21 ET"
RGLD,"Royal Gold Inc",123.4,3.07,+2.55%,123.43,119.21,67499,"11:21 ET"
RH,"Restoration Hardware Holdings",253,0.060000000000002,+0.02%,256,251.92,130385,"11:17 ET"
RIG,"Transocean Inc",1.84,0.06,+3.37%,1.87,1.76,5301472,"11:20 ET"
RLI,"Rli Corp",82.66,1.14,+1.40%,82.66,81.03,17096,"11:21 ET"
RNR,"Renaissancere Holdings Ltd",170.53,2.8,+1.67%,170.53,166.32,74172,"11:20 ET"
RPM,"RPM International Inc",74.5,0.63,+0.85%,74.5,73.69,49225,"11:20 ET"
RS,"Reliance Steel & Aluminum Company",94.49,1.6,+1.72%,94.52,92.39,33040,"11:20 ET"
RYN,"Rayonier Inc REIT",24.83,0.43,+1.76%,24.85,24.4,149531,"11:21 ET"
SABR,"Sabre Corp",8.12,0.18,+2.27%,8.2,7.75,1622293,"11:21 ET"
SAFM,"Sanderson Farms IN",116.73,2.13,+1.86%,117.92,114.02,62875,"11:19 ET"
SAIC,"Science Applications International",77.93,0.62,+0.80%,78.43,77.04,147467,"11:20 ET"
SAM,"Boston Beer Company",543.16,-4.47,-0.82%,552.96,543.13,9433,"11:20 ET"
SBH,"Sally Beauty Holdings",12.36,-0.07,-0.56%,12.46,12.15,168178,"11:20 ET"
SBNY,"Signature Bank",106.43,1.72,+1.64%,106.5,103.22,56163,"11:20 ET"
SBRA,"Sabra REIT",14.78,0.42,+2.92%,14.8,14.07,295383,"11:21 ET"
SCI,"Service Corp International",39.22,0.73,+1.90%,39.24,38.34,255077,"11:20 ET"
SEDG,"Solaredge Tech",137.27,0.21000000000001,+0.15%,139.28,136.01,249815,"11:21 ET"
SEIC,"Sei Investments Company",54.18,1.13,+2.13%,54.2,52.87,88376,"11:20 ET"
SF,"Stifel Financial Corp",47.27,0.82,+1.77%,47.49,46.28,48474,"11:20 ET"
SFM,"Sprouts Farmers Mark",25.71,-0.2,-0.77%,26.2,25.63,531903,"11:20 ET"
SGMS,"Scientific Games",15.38,0.15,+0.98%,16,14.71,273449,"11:18 ET"
SIGI,"Selective Ins Group",52.75,0.34,+0.65%,52.81,52.01,28002,"11:20 ET"
SIX,"Six Flags Entertainment Corp",19.26,-0.13,-0.67%,19.38,18.58,625556,"11:20 ET"
SKX,"Skechers U.S.A.",31.22,0.35,+1.13%,31.38,30.13,588112,"11:20 ET"
SLAB,"Silicon Labs Inc",99.69,3.01,+3.11%,99.69,96.01,40143,"11:21 ET"
SLGN,"Silgan Holdings",32.18,0.41,+1.29%,32.19,31.72,51531,"11:20 ET"
SLM,"SLM Corp",7.07,0.12,+1.73%,7.09,6.86,1140783,"11:20 ET"
SMG,"Scotts Miracle-Gro Company",132.75,2.63,+2.02%,132.75,129.21,57649,"11:21 ET"
SMTC,"Semtech Corp",51.88,1.12,+2.21%,52,49.51,82581,"11:17 ET"
SNV,"Synovus Financial Corp",20.35,0.27,+1.34%,20.61,19.84,243799,"11:20 ET"
SNX,"Synnex Corp",117.69,-0.18000000000001,-0.15%,118,114.54,154128,"11:18 ET"
SON,"Sonoco Products Company",52.18,0.34,+0.66%,52.21,51.32,41239,"11:20 ET"
SR,"Spire Inc",65.82,1.43,+2.22%,65.97,64.23,37497,"11:19 ET"
SRC,"Spirit Realty Capital Inc",34.88,0.23,+0.66%,35.15,34.44,290797,"11:21 ET"
SRCL,"Stericycle Inc",55.3,0.039999999999999,+0.07%,55.55,54.66,56910,"11:20 ET"
STL,"Sterling Bancorp",11.64,0.22,+1.93%,11.66,11.25,775199,"11:21 ET"
STLD,"Steel Dynamics Inc",26.34,0.6,+2.33%,26.36,25.54,284983,"11:20 ET"
STOR,"Store Capital Corpstore Capital",24.06,0.11,+0.46%,24.16,23.38,709518,"11:20 ET"
