Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
DFS,"Discover Financial Services",49.37,0.049999999999997,+0.10%,49.22,49.84,48.71,2413540,"11:21 ET"
DG,"Dollar General Corp",189.21,-0.81,-0.43%,190.03,190.31,188.45,320862,"11:20 ET"
DGX,"Quest Diagnostics Inc",112.73,2.31,+2.09%,110.46,112.73,110.38,190552,"11:22 ET"
DHI,"D.R. Horton",55.26,0.64,+1.17%,54.85,55.26,54.05,514646,"11:22 ET"
DHR,"Danaher Corp",174.07,1.69,+0.98%,172,174.08,171.4,281917,"11:20 ET"
DIS,"Walt Disney Company",111.8,0.28,+0.25%,111.5,112.05,110.6,2408621,"11:21 ET"
DISCA,"Discovery Comm A",21.2,-0.030000000000001,-0.14%,21.18,21.33,20.91,841157,"11:21 ET"
DISCK,"Discovery Comm Inc",19.36,0.009999999999998,+0.05%,19.28,19.41,19.04,359940,"11:21 ET"
DISH,"Dish Network Corp",33.27,0.22000000000001,+0.67%,32.97,33.46,32.65,282121,"11:21 ET"
DKS,"Dick's Sporting Goods Inc",41.48,-0.07,-0.17%,41.32,41.87,41.14,390837,"11:21 ET"
DLB,"Dolby Laboratories",66.01,-0.11,-0.17%,66.27,66.36,65.64,64116,"11:21 ET"
DLR,"Digital Realty Trust",141.1,0.97,+0.69%,140.02,141.33,139.15,343535,"11:22 ET"
DLTR,"Dollar Tree Inc",91.81,-1.86,-1.99%,92.82,93.54,91.19,718264,"11:21 ET"
DNKN,"Dunkin' Brands Group",65.65,1.07,+1.66%,64.56,65.69,64.01,216521,"11:19 ET"
DOCU,"Docusign Inc",172.19,0.52000000000001,+0.30%,172.36,174.48,169.77,1069612,"11:21 ET"
DOV,"Dover Corp",95.65,1.08,+1.14%,94.06,95.67,93.89,76147,"11:21 ET"
DOW,"Dow Inc",40.43,-0.55,-1.34%,40.59,40.94,39.76,1303288,"11:22 ET"
DOX,"Amdocs Ltd Ord",60.96,0.76,+1.26%,60.37,60.97,60.06,144600,"11:21 ET"
DPZ,"Domino's Pizza Inc",364.96,-4.21,-1.14%,368.89,368.89,363.92,120456,"11:19 ET"
DRE,"Duke Realty Corp",35.47,0.89,+2.57%,34.6,35.52,34.01,302053,"11:21 ET"
DRI,"Darden Restaurants",75.35,-1.28,-1.67%,75.54,76.3,74.28,890284,"11:22 ET"
DT,"Dynatrace Inc",40.08,-0.45,-1.11%,40.63,40.92,39.78,675962,"11:20 ET"
DTE,"Dte Energy Company",107.71,1.15,+1.08%,106.07,107.75,105.59,225979,"11:21 ET"
DUK,"Duke Energy Corp",80.16,-0.090000000000003,-0.11%,80.09,80.49,79.63,1080522,"11:21 ET"
DVA,"Davita Healthcare Partners Inc",78.31,1.1,+1.42%,77.5,78.31,77,117659,"11:21 ET"
DVN,"Devon Energy Corp",11.09,-0.029999999999999,-0.27%,10.95,11.22,10.78,1875208,"11:22 ET"
DXC,"Dxc Technology Company",16.28,0.2,+1.24%,15.99,16.34,15.87,629341,"11:22 ET"
DXCM,Dexcom,393.66,-4.54,-1.14%,397.8,398.96,391.83,198030,"11:21 ET"
EA,"Electronic Arts Inc",131.68,0.99000000000001,+0.76%,132.61,133,130.58,466880,"11:21 ET"
EAF,"Graftech International Ltd",7.95,-0.079999999999999,-1.00%,8.01,8.12,7.74,304123,"11:18 ET"
EBAY,"Ebay Inc",52.49,1.18,+2.30%,51.42,52.49,51.32,3276552,"11:22 ET"
ECL,"Ecolab Inc",196.83,1.21,+0.62%,196.34,197.01,194.7,180066,"11:18 ET"
ED,"Consolidated Edison Company of New York",72.06,-0.64,-0.88%,72.61,73,71.88,317882,"11:21 ET"
EEFT,"Euronet Worldwide",94.79,1.27,+1.36%,93.64,95.12,92.55,109404,"11:11 ET"
EFX,"Equifax Inc",170.29,2.57,+1.53%,167.01,170.29,166.34,153364,"11:21 ET"
EHC,"Encompass Health Corp",61.51,0.83,+1.37%,60.35,61.56,60.35,189832,"11:19 ET"
EIX,"Edison International",55.03,-0.31,-0.56%,55.43,56.72,54.89,622467,"11:21 ET"
EL,"Estee Lauder Companies",187.5,1.85,+1.00%,185.58,187.67,185,253308,"11:21 ET"
ELAN,"Elanco Animal Health Inc",21.46,0.46,+2.19%,20.99,21.46,20.91,241298,"11:21 ET"
ELS,"Equity Lifestyle Properties",63.13,1.48,+2.40%,61.91,63.13,61.82,120801,"11:21 ET"
EMN,"Eastman Chemical Company",69.52,0.2,+0.29%,68.84,69.54,67.83,186851,"11:21 ET"
EMR,"Emerson Electric Company",61.8,0.41999999999999,+0.68%,61.24,61.84,60.92,375528,"11:21 ET"
ENR,"Energizer Holdings Inc",47.17,0.99,+2.14%,46.53,47.86,46.48,153720,"11:20 ET"
ENTG,"Entegris Inc",58.99,1.02,+1.76%,57.16,58.99,56.46,310793,"11:21 ET"
EOG,"Eog Resources",49.96,0.31,+0.62%,49.05,50.1,48.78,452715,"11:22 ET"
EPAM,"Epam Systems Inc",249.75,3.66,+1.49%,245.87,249.75,245.65,47055,"11:22 ET"
EPR,"Entertainment Properties Trust",33.45,0.43,+1.30%,33,33.79,32.33,245388,"11:20 ET"
EQC,"Equity Commonwealth",32.12,0.17,+0.53%,32.02,32.23,31.92,79554,"11:21 ET"
EQH,"Axa Equitable Holdings Inc",19.27,0.26,+1.37%,18.83,19.34,18.74,374823,"11:21 ET"
EQIX,"Equinix Inc",697.68,8.76,+1.27%,698.5,700.94,689.55,90753,"11:21 ET"
EQR,"Equity Residential",58.59,0.92,+1.60%,57.8,58.71,57.35,276098,"11:21 ET"
EQT,"Eqt Corp",11.59,0.53,+4.79%,11.19,11.69,11.07,1879410,"11:22 ET"
ERIE,"Erie Indemnity Company",191.37,2.87,+1.52%,189.31,192.24,186.79,4511,"11:10 ET"
ES,"Eversource Energy",83.47,0.38,+0.46%,82.88,83.75,82.81,278867,"11:21 ET"
ESI,"Element Solutions Inc",10.63,0.090000000000002,+0.85%,10.53,10.63,10.44,165026,"11:22 ET"
ESRT,"Empire State Realty Trust Inc",6.93,0.05,+0.73%,6.83,6.97,6.77,1111349,"11:21 ET"
ESS,"Essex Property Trust",229.7,3.27,+1.44%,227.15,230.68,226.48,77495,"11:19 ET"
ESTC,"Elastic N.V.",93.55,1.79,+1.95%,92,93.55,91.68,267630,"11:21 ET"
ETFC,"E*Trade Finl Corp",49.3,0.57,+1.17%,48.51,49.42,48.41,475479,"11:22 ET"
ETN,"Eaton Corp",87.05,0.14,+0.16%,86.47,87.19,86.12,286217,"11:22 ET"
ETR,"Entergy Corp",94.47,0.7,+0.75%,93.84,94.51,93.08,137164,"11:21 ET"
ETRN,"Equitrans Midstream Corp",8.16,-0.12,-1.45%,8.17,8.27,7.99,929832,"11:22 ET"
ETSY,"Etsy Inc",105.14,2.25,+2.19%,103.26,105.61,102.71,1320640,"11:22 ET"
EV,"Eaton Vance Corp",38.3,0.82,+2.19%,37.28,38.36,37.28,166567,"11:21 ET"
EVR,"Evercore Partners Inc",57.8,0.48,+0.84%,56.89,57.86,56.8,64925,"11:20 ET"
EVRG,"Evergy Inc",59.2,0.020000000000003,+0.03%,59.28,59.76,58.84,227899,"11:21 ET"
EW,"Edwards Lifesciences Corp",68.37,0.48,+0.71%,67.95,68.43,67.28,385185,"11:21 ET"
EWBC,"East West Bancorp",36.22,0.96,+2.72%,35.1,36.41,34.87,179273,"11:20 ET"
EXAS,"Exact Sciences Cor",86.62,0.60000000000001,+0.70%,85.9,86.66,84.91,281847,"11:21 ET"
EXC,"Exelon Corp",36.42,0.43,+1.19%,35.7,36.5,35.59,1023759,"11:21 ET"
EXEL,"Exelixis Inc",23.39,0.66,+2.90%,22.64,23.4,22.64,457007,"11:20 ET"
EXP,"Eagle Materials Inc",70.2,-0.33,-0.47%,70.44,70.66,69.16,39210,"11:20 ET"
EXPD,"Expeditors Intl",75.26,0.96000000000001,+1.29%,74.62,75.26,74.43,138204,"11:22 ET"
EXPE,"Expedia Group Inc",82.29,-0.38,-0.46%,83.15,83.15,80.85,672589,"11:22 ET"
EXR,"Extra Space Storage Inc",93.51,1.68,+1.83%,92,93.88,91.36,221817,"11:20 ET"
F,"Ford Motor Company",6.04,0.03,+0.50%,5.98,6.04,5.9,15713592,"11:21 ET"
FAF,"First American Corp",48.1,0.72,+1.52%,47.39,48.1,47.17,101642,"11:21 ET"
FANG,"Diamondback Energy",41.23,-0.2,-0.48%,40.79,41.8,39.84,678518,"11:21 ET"
FAST,"Fastenal Company",42.42,0.5,+1.19%,41.7,42.49,41.46,1010208,"11:21 ET"
FB,"Facebook Inc",221.67,1.03,+0.47%,220.59,222.3,218.47,9141418,"11:22 ET"
FBHS,"Fortune Brands Home & Security",64.26,1.38,+2.19%,62.83,64.28,62.71,308191,"11:21 ET"
FCNCA,"First Citizens Bancs",403.66,8.25,+2.09%,392.31,404.97,392.31,4764,"11:18 ET"
FCX,"Freeport-Mcmoran Inc",11.54,0.5,+4.53%,11.07,11.58,11.03,8430451,"11:22 ET"
FDS,"Factset Research Systems Inc",327.86,1.06,+0.32%,327.47,331.24,325.33,47145,"11:21 ET"
FDX,"Fedex Corp",138.6,4.05,+3.01%,136.22,139.41,134.92,897627,"11:21 ET"
FE,"Firstenergy Corp",38.46,0.47,+1.24%,38.01,38.56,37.72,607330,"11:22 ET"
FEYE,"Fireeye Inc",12.22,0.12,+0.99%,12.09,12.23,11.79,596630,"11:21 ET"
FFIV,"F5 Networks Inc",139.5,2.09,+1.52%,137.91,139.96,137.57,98809,"11:21 ET"
FHB,"First Hawaiian Inc",17.1,0.44,+2.64%,16.01,17.11,16.01,315405,"11:20 ET"
FHN,"First Horizon National Corp",9.85,0.28,+2.93%,9.44,9.94,9.43,2120761,"11:21 ET"
FICO,"Fair Isaac and Company Inc",412.97,6.9400000000001,+1.71%,407.77,413.36,407.11,38785,"11:21 ET"
FIS,"Fidelity National Information Services",132.43,1.26,+0.96%,131.16,132.43,130.7,787152,"11:21 ET"
FISV,"Fiserv Inc",97.17,0.16,+0.16%,96.28,97.17,96.01,616155,"11:21 ET"
FITB,"Fifth Third Bncp",19.16,0.42,+2.24%,18.52,19.32,18.47,2607726,"11:22 ET"
FIVE,"Five Below Inc",106.42,-0.69,-0.64%,107.09,107.09,105.02,270555,"11:20 ET"
FL,"Footlocker Inc",29.49,0.059999999999999,+0.20%,29.16,29.65,28.84,415155,"11:22 ET"
FLIR,"Flir Systems Inc",40.11,0.060000000000002,+0.15%,39.99,40.61,39.86,340283,"11:21 ET"
FLO,"Flowers Foods",22.4,0.19,+0.86%,22.32,22.41,22.21,96603,"11:20 ET"
FLR,"Fluor Corp",12.17,0.18,+1.50%,11.8,12.36,11.72,586272,"11:21 ET"
FLS,"Flowserve Corp",28.46,0.23,+0.81%,27.8,28.46,27.77,113148,"11:21 ET"
FLT,"Fleetcor Technologies",247.56,1.41,+0.57%,245.66,248.04,244.5,109770,"11:20 ET"
FMC,"FMC Corp",99.35,2.04,+2.10%,96.94,99.53,96.66,83327,"11:21 ET"
FNB,"F.N.B. Corp",7.41,0.09,+1.23%,7.23,7.43,7.22,523988,"11:21 ET"
FND,"Floor & Decor Holdings Inc",57.36,0.29,+0.51%,56.9,57.39,56.04,123709,"11:21 ET"
FNF,"Fidelity National Financial",30.73,0.2,+0.66%,30.5,30.86,30.23,568762,"11:22 ET"
FOX,"Fox Corp Cl B",26.75,-0.039999999999999,-0.15%,26.76,27.16,26.52,220741,"11:22 ET"
FOXA,"Fox Corp Cl A",26.91,0.010000000000002,+0.04%,26.8,26.99,26.51,610393,"11:22 ET"
FRC,"First Republic Bank",106.3,1.09,+1.04%,104.36,106.66,104.03,153548,"11:22 ET"
FRT,"Federal Realty Investment Trust",86.06,1.3,+1.53%,85.05,86.21,83.92,81673,"11:19 ET"
FSLR,"First Solar Inc",49.94,0.33,+0.67%,49.69,50.34,49.2,652391,"11:22 ET"
FTDR,"Frontdoor Inc",45.18,0.11,+0.24%,44.82,45.23,44.26,58849,"11:20 ET"
FTNT,"Fortinet Inc",136.99,3.52,+2.64%,134.12,137.15,133.47,289621,"11:21 ET"
FTV,"Fortive Corp",67.94,0.019999999999996,+0.03%,67.18,68,66.82,528451,"11:21 ET"
FWONA,"Liberty Media F1 Series A",29.38,-0.33,-1.11%,29.58,30,29.19,21950,"11:18 ET"
FWONK,"Liberty Media F1 Series K",31.9,-0.28,-0.87%,32.19,32.43,31.56,365045,"11:21 ET"
G,"Genpact Ltd",36.52,0.41,+1.14%,36.1,36.68,35.95,145773,"11:21 ET"
GD,"General Dynamics Corp",149.3,-0.039999999999992,-0.03%,148.13,151.46,147.7,250692,"11:21 ET"
GDDY,"Godaddy Inc",72.67,0.079999999999998,+0.11%,72.62,72.9,71.39,237756,"11:21 ET"
GE,"General Electric Company",6.82,0.02,+0.29%,6.71,6.86,6.66,19540146,"11:22 ET"
GGG,"Graco Inc",47.93,0.46,+0.97%,47.33,47.94,47.28,71613,"11:21 ET"
GH,"Guardant Health Inc",79.9,-0.099999999999994,-0.12%,79.66,80.37,78.35,243014,"11:21 ET"
GHC,"Graham Holdings Company",343.78,-2.71,-0.78%,344.98,347.56,342.83,2197,"11:20 ET"
GILD,"Gilead Sciences Inc",76.04,1.48,+1.98%,74.34,76.25,73.91,2548614,"11:21 ET"
GIS,"General Mills",61.05,0.31,+0.51%,61.27,61.5,60.24,1202025,"11:22 ET"
GL,"Globe Life Inc",73.91,1.56,+2.16%,72.18,74,72.18,70455,"11:21 ET"
GLIBA,"Gci Liberty Inc Cl A",70.27,3.22,+4.80%,69.4,70.88,66.96,886240,"11:21 ET"
GLPI,"Gaming & Leisure",34.64,0.1,+0.29%,34.6,34.85,34.22,147227,"11:20 ET"
GLW,"Corning Inc",25.97,0.29,+1.13%,25.5,25.99,25.44,895467,"11:22 ET"
GM,"General Motors Company",25.24,-0.060000000000002,-0.24%,25.09,25.41,24.74,4064963,"11:21 ET"
GNTX,"Gentex Corp",25.81,0.029999999999998,+0.12%,25.45,25.81,25.35,612514,"11:21 ET"
GO,"Grocery Outlet Holding Corp",41.15,-0.35,-0.84%,41.6,41.83,40.79,244345,"11:22 ET"
GOOG,"Alphabet Cl C",1398.93,3.96,+0.28%,1390.44,1399.11,1383.96,484175,"11:22 ET"
GOOGL,"Alphabet Cl A",1402.75,5.5799999999999,+0.40%,1396.88,1403.19,1386.93,404584,"11:22 ET"
GPC,"Genuine Parts Company",86.74,-0.28,-0.32%,86.7,87.16,85.87,129701,"11:22 ET"
GPK,"Graphic Packaging Holding Company",13.91,0.17,+1.24%,13.69,13.92,13.65,212886,"11:21 ET"
GPN,"Global Payments Inc",167.83,1.26,+0.76%,165.87,167.86,165.3,350374,"11:21 ET"
GPS,"Gap Inc",12.5,-0.0099999999999998,-0.08%,12.38,12.58,12.11,4506225,"11:22 ET"
GRA,"W.R. Grace & Company",50.74,0.41,+0.81%,50.43,50.87,49.76,237998,"11:22 ET"
GRMN,"Garmin Ltd",97.27,1.12,+1.16%,96.67,97.27,96.18,145899,"11:21 ET"
GRUB,"Grubhub Inc",68.97,-0.75,-1.08%,68.95,69.43,68.6,480370,"11:21 ET"
GS,"Goldman Sachs Group",196.85,3.38,+1.75%,193.84,196.94,193.3,788313,"11:21 ET"
GT,"Goodyear Tire Rubber",8.91,-0.11,-1.22%,8.93,9.02,8.7,1388458,"11:20 ET"
GTES,"Gates Industrial Corp Plc",10.26,0.12,+1.18%,10.21,10.38,10.09,78152,"11:21 ET"
GWRE,"Guidewire Software Inc",109.63,0.47999999999999,+0.44%,108.55,109.68,108.55,107021,"11:21 ET"
GWW,"W.W. Grainger",309.4,5.9299999999999,+1.95%,304.43,309.7,304.03,79845,"11:20 ET"
H,"Hyatt Hotels Corp",50.34,-0.16999999999999,-0.34%,50.13,50.55,49.17,143609,"11:21 ET"
HAIN,"Hain Celestial Group",31.57,0.58,+1.87%,31.21,31.63,30.9,122978,"11:19 ET"
HAL,"Halliburton Company",12.61,0.19,+1.53%,12.26,12.65,12.12,6383277,"11:22 ET"
HAS,"Hasbro Inc",74.23,0.44,+0.60%,73.29,75.03,72.4,170059,"11:22 ET"
HBAN,"Huntington Bcshs",8.96,0.090000000000002,+1.01%,8.75,8.98,8.66,6625297,"11:21 ET"
HBI,"Hanesbrands Inc",11.42,0.27,+2.42%,11.17,11.43,11.02,1361961,"11:21 ET"
HCA,"Hca Holdings Inc",96.86,0.66,+0.69%,96.2,96.86,93.76,403898,"11:21 ET"
HD,"Home Depot",249.2,3.08,+1.25%,247,249.22,246.09,639139,"11:22 ET"
HDS,"HD Supply Hlds Cmm",34.17,0.51000000000001,+1.52%,33.7,34.24,33.62,202078,"11:20 ET"
HE,"Hawaiian Electric Industries",36.27,0.38,+1.06%,35.96,36.3,35.88,28424,"11:21 ET"
HEI,"Heico Corp",99.42,-1.28,-1.27%,99.4,100.36,98.16,63549,"11:21 ET"
HEI.A,"Heico Cp Cl A",81.88,-0.40000000000001,-0.49%,81.42,82.26,80.02,35938,"11:13 ET"
HES,"Hess Corp",50.85,0.91,+1.82%,49.31,50.93,49.31,333612,"11:21 ET"
HFC,"Hollyfrontier Corp",27.91,-0.54,-1.90%,27.58,27.95,26.96,719387,"11:21 ET"
HGV,"Hilton Grand Vacations Inc",19.44,0.040000000000003,+0.21%,19.23,19.56,18.73,76214,"11:21 ET"
HHC,"Howard Hughes Corp",52.87,0.21,+0.40%,52.63,53.49,51.92,78023,"11:21 ET"
HIG,"Hartford Financial Services Group",38.82,0.49,+1.28%,38.14,39.03,38.14,343570,"11:21 ET"
HII,"Huntington Ingalls Industries",175.43,-1.98,-1.12%,176.16,179.16,174.05,44658,"11:21 ET"
HIW,"Highwoods Properties",37.55,0.37,+1.00%,37.11,37.63,36.88,109444,"11:21 ET"
HLF,"Herbalife Ltd",44.56,0.34,+0.77%,44.03,44.62,43.61,50317,"11:20 ET"
HLT,"Hilton Inc",73.54,-0.38,-0.51%,73.55,73.74,72.02,578020,"11:22 ET"
HOG,"Harley-Davidson Inc",23.87,0.030000000000001,+0.13%,23.63,23.95,23.45,489315,"11:22 ET"
HOLX,"Hologic Inc",56.24,2.91,+5.46%,54.07,56.28,53.85,631689,"11:21 ET"
HON,"Honeywell International Inc",143.97,0.72999999999999,+0.51%,142.26,144.47,142,660796,"11:22 ET"
HP,"Helmerich & Payne",19.36,0.21,+1.10%,18.84,19.51,18.68,274344,"11:21 ET"
HPE,"Hewlett Packard Enterprise Comp",9.69,0.11,+1.15%,9.54,9.69,9.51,1324710,"11:21 ET"
HPP,"Hudson Pacific Properties",25.46,0.34,+1.35%,25.09,25.55,24.98,232597,"11:20 ET"
HPQ,"HP Inc",17.42,0.29,+1.69%,17.11,17.44,16.98,2604771,"11:22 ET"
HRB,"H&R Block",14.29,0.079999999999998,+0.56%,14.15,14.33,14.04,753511,"11:21 ET"
HRC,"Hill-Rom Holdings Inc",109.58,1.37,+1.27%,107.89,109.64,107.49,72620,"11:18 ET"
HRL,"Hormel Foods Corp",48.39,0.049999999999997,+0.10%,48.62,48.71,48.31,487693,"11:21 ET"
HSIC,"Henry Schein Inc",58.75,0.69,+1.19%,57.7,58.79,57.35,209048,"11:22 ET"
HST,"Host Marriott Financial Trust",11.06,0.1,+0.91%,10.97,11.19,10.76,5643581,"11:22 ET"
HSY,"Hershey Foods Corp",129.15,1.54,+1.21%,128.25,129.57,127.89,542750,"11:22 ET"
HTA,"Healthcare Trust of America",26.62,0.52,+1.99%,26.19,26.69,25.98,510383,"11:21 ET"
HUBB,"Hubbell Inc B",124.25,2.15,+1.76%,122.77,124.8,122.34,79197,"11:20 ET"
HUBS,"Hubspot Inc",221.96,4.3,+1.98%,218.63,223.49,217.67,87768,"11:22 ET"
HUM,"Humana Inc",382.73,3.37,+0.89%,381.03,385.69,379,160974,"11:21 ET"
HUN,"Huntsman Corp",17.81,0.009999999999998,+0.06%,17.63,17.82,17.57,372217,"11:21 ET"
HWM,"Howmet Aerospace Inc.",16.22,0,0.00%,16.02,16.28,15.74,1297229,"11:21 ET"
HXL,"Hexcel Corp",46.33,-0.67,-1.43%,46.2,46.64,45.2,190707,"11:21 ET"
HZNP,"Horizon Therapeutics",55.17,-0.11,-0.20%,54.86,55.28,54.61,394177,"11:21 ET"
IAA,"Iaa Inc",38.55,0.16999999999999,+0.44%,38.37,38.8,37.39,157663,"11:21 ET"
IAC,"Iac Interactive",321.4,3.5,+1.10%,317.82,321.4,315.01,239722,"11:21 ET"
IART,"Integra Lifesciences",46.68,0.2,+0.43%,46.32,46.69,46.12,45901,"11:21 ET"
IBKR,"Interactive Brokers",41.56,0.23,+0.56%,41.25,41.68,41.18,56286,"11:21 ET"
IBM,"International Business Machines",120.14,0.39,+0.33%,119.19,120.33,119,721781,"11:22 ET"
ICE,"Intercontinental Exchange",90.54,0.14,+0.15%,90.31,90.9,90.1,728555,"11:22 ET"
ICUI,"I C U Medical Inc",181.51,1.35,+0.75%,180.4,181.78,179.3,24896,"11:22 ET"
IDA,"Idacorp Inc",87.77,1.57,+1.82%,86.41,87.9,86.36,51288,"11:20 ET"
IDXX,"Idexx Laboratories",329.69,1.79,+0.55%,327.61,330,324.38,152794,"11:21 ET"
IEX,"Idex Corp",156.43,2.04,+1.32%,153.86,156.43,153.43,37336,"11:19 ET"
IFF,"International Flavors & Fragrances",122.02,0.14,+0.11%,121.6,122.44,120.81,89042,"11:20 ET"
IGT,"International Game Technology",8.88,0.06,+0.68%,8.78,8.94,8.58,484689,"11:21 ET"
ILMN,"Illumina Inc",366.21,3.9,+1.08%,362.31,366.21,358.18,166752,"11:22 ET"
INCY,"Incyte Corp",102.97,0.48999999999999,+0.48%,102.53,103.49,101.67,193170,"11:20 ET"
INFO,"IHS Markit Ltd",74.07,1.25,+1.72%,72.8,74.07,72.55,556709,"11:22 ET"
INGR,"Ingredion Inc",83.07,1.78,+2.19%,80.72,83.07,80.67,65169,"11:21 ET"
INTC,"Intel Corp",59.64,1.37,+2.35%,58.71,59.81,58.3,6272974,"11:21 ET"
INTU,"Intuit Inc",294,6.08,+2.11%,289.15,294,288,222831,"11:21 ET"
INVH,"Invitation Homes Inc",27.45,0.36,+1.33%,27.13,27.52,27.12,962182,"11:21 ET"
IONS,"Ionis Pharmaceuticals",58.9,-0.5,-0.84%,59.06,59.58,58.31,175712,"11:21 ET"
IP,"International Paper Company",35.14,0.13,+0.37%,34.79,35.2,34.44,378989,"11:22 ET"
IPG,"Interpublic Group of Companies",17.44,0.47,+2.77%,16.92,17.44,16.82,1114830,"11:22 ET"
IPGP,"Ipg Photonics Corp",161.38,4.22,+2.69%,157.53,161.44,157.34,37314,"11:15 ET"
IQV,"Iqvia Holdings Inc",139.83,2.31,+1.68%,137,139.83,137,117218,"11:21 ET"
IR,"Ingersoll Rand Inc.",28.09,-0.02,-0.07%,27.91,28.14,27.55,613687,"11:21 ET"
IRM,"Iron Mountain Inc",26.13,0.43,+1.67%,25.75,26.18,25.61,986355,"11:21 ET"
ISRG,"Intuitive Surg Inc",565.33,11.56,+2.09%,554.65,565.55,551.98,112317,"11:22 ET"
IT,"Gartner Inc",120.7,1.44,+1.21%,118.64,120.7,118.08,58389,"11:20 ET"
ITT,"ITT Inc",58.7,0.32,+0.55%,57.76,58.74,57.76,240159,"11:20 ET"
ITW,"Illinois Tool Works Inc",173.65,3.25,+1.91%,170.01,173.66,170.01,172949,"11:21 ET"
IVZ,"Invesco Plc",10.66,0.27,+2.60%,10.35,10.73,10.26,2040916,"11:22 ET"
J,"Jacobs Engineering Group Inc",84.78,-0.049999999999997,-0.06%,84.55,84.99,84.37,99170,"11:21 ET"
JAZZ,"Jazz Pharma Plc",108.73,-0.84999999999999,-0.78%,109.76,110.36,107.54,130474,"11:22 ET"
JBGS,"Jbg Smith Properties",29.93,0.28,+0.94%,29.6,29.98,29.43,45525,"11:21 ET"
JBHT,"J B Hunt Transport",120.67,0.59,+0.49%,119.86,120.68,119.67,61712,"11:21 ET"
JBL,"Jabil Circuit",32.29,0.019999999999996,+0.06%,31.85,32.37,31.6,301290,"11:21 ET"
JBLU,"Jetblue Airways Cp",10.95,-0.11,-0.99%,10.9,11.13,10.59,5263477,"11:22 ET"
JCI,"Johnson Controls Intl",34.14,0.32,+0.95%,33.64,34.17,33.54,576141,"11:21 ET"
JEF,"Jefferies Financial Group Inc",15.65,0.51,+3.37%,15.81,16.11,15.43,1039140,"11:21 ET"
JHG,"Janus Henderson Group Plc",21.28,0.27,+1.29%,21,21.35,20.94,611875,"11:21 ET"
JKHY,"Jack Henry & Assoc",181.15,-0.32999999999998,-0.18%,180.88,183.1,180.88,91154,"11:20 ET"
JLL,"Jones Lang Lasalle Inc",103.48,2.28,+2.25%,101.23,104.38,100.97,74596,"11:21 ET"
JNJ,"Johnson & Johnson",139.25,0.21000000000001,+0.15%,139.4,140,137.84,988642,"11:21 ET"
JNPR,"Juniper Networks",22.86,0.31,+1.37%,22.55,22.86,22.54,602766,"11:21 ET"
JPM,"JP Morgan Chase & Company",94.16,1.16,+1.25%,92.83,94.5,92.57,5137463,"11:22 ET"
JW.A,"John Wiley Sons Cl A",38.95,-0.44,-1.12%,38.99,39.47,38.53,65096,"11:15 ET"
JWN,Nordstrom,15.62,-0.17,-1.08%,15.61,15.94,15.37,2003430,"11:21 ET"
K,"Kellogg Company",65.59,0.51000000000001,+0.78%,65.53,65.74,65,379811,"11:21 ET"
KAR,"Kar Auction Services Inc",14.14,-0.07,-0.49%,14.15,14.38,13.84,544482,"11:21 ET"
KDP,"Keurig Dr Pepper Inc",28.36,0.059999999999999,+0.21%,28.28,28.41,28.19,323295,"11:21 ET"
KEX,"Kirby Corp",53.26,-0.22,-0.41%,53.21,53.54,52.61,74195,"11:20 ET"
KEY,Keycorp,12.16,0.29,+2.44%,11.75,12.17,11.62,4176302,"11:22 ET"
KEYS,"Keysight Technologies Inc Comm",100.96,2.83,+2.88%,97.98,101.13,97.85,542073,"11:21 ET"
KHC,"Kraft Heinz Company",31.84,0.2,+0.63%,31.64,31.92,31.5,993698,"11:22 ET"
KIM,"Kimco Realty Corp",13.06,0.34,+2.67%,12.77,13.07,12.65,1349590,"11:21 ET"
KLAC,"K L A-Tencor Corp",194.09,2.36,+1.23%,191.03,195.4,190.68,275839,"11:21 ET"
KMB,"Kimberly-Clark Corp",141.34,1.89,+1.36%,139.86,141.41,139.76,234095,"11:21 ET"
KMI,"Kinder Morgan",14.85,0.19,+1.30%,14.55,14.87,14.5,2337520,"11:21 ET"
KMPR,"Kemper Corp",72.56,1.55,+2.18%,70.96,72.7,70.96,25123,"11:15 ET"
KMX,"Carmax Inc",89.98,1,+1.12%,88.66,90.09,88.08,161623,"11:21 ET"
KNX,"Knight-Swift Transporation Inc",41.92,0.3,+0.72%,41.61,41.92,41.39,320422,"11:20 ET"
KO,"Coca-Cola Company",44.5,0.14,+0.32%,44.25,44.56,44.11,6448476,"11:22 ET"
KOS,"Kosmos Energy Ltd",1.675,0.0050000000000001,+0.30%,1.71,1.74,1.66,2916298,"11:21 ET"
KR,"Kroger Company",33.95,-0.18,-0.53%,34.36,34.43,33.9,2704454,"11:22 ET"
KRC,"Kilroy Realty Corp",59.37,0.73999999999999,+1.26%,58.73,59.42,58.21,111967,"11:18 ET"
KSS,"Kohl's Corp",20.61,-0.050000000000001,-0.24%,20.35,20.76,19.97,2235291,"11:21 ET"
KSU,"Kansas City Southern",149.04,1.4,+0.95%,147.42,149.13,146.75,89011,"11:21 ET"
L,"Loews Corp",34.19,0.5,+1.48%,33.54,34.19,33.34,132136,"11:21 ET"
LAMR,"Lamar Advertis A",66.84,0.32000000000001,+0.48%,66.43,67.05,65.01,78514,"11:21 ET"
LAZ,"Lazard Ltd",28.29,0.43,+1.54%,27.64,28.3,27.64,82326,"11:21 ET"
