Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AMD,"Adv Micro Devices",52.23,1.95,+3.88%,51.16,52.61,50.82,18508560,"11:22 ET"
AME,"Amtek Inc",88.64,0.53,+0.60%,88.03,88.81,87.71,171531,"11:20 ET"
AMG,"Affiliated Managers Group",74.5,2.15,+2.97%,71.93,74.88,71.93,61916,"11:20 ET"
AMGN,"Amgen Inc",233.53,1.97,+0.85%,233.31,233.64,231.55,385013,"11:22 ET"
AMH,"American Homes 4 Rent",26.91,0.26,+0.98%,26.72,27.02,26.62,327345,"11:21 ET"
AMP,"Ameriprise Financial Services",150.4,2.04,+1.38%,147.22,151.29,147.22,237092,"11:21 ET"
AMT,"American Tower Corp",257.36,3.56,+1.40%,254.25,257.95,253.12,249647,"11:21 ET"
AMTD,"TD Ameritrade HD",36.01,0.62,+1.75%,35.18,36.14,35.09,1557539,"11:22 ET"
AMZN,"Amazon.com Inc",2735,54.62,+2.04%,2685.06,2736.23,2675,1094351,"11:22 ET"
AN,"Autonation Inc",37.85,0.18,+0.48%,37.6,38.14,37.14,53391,"11:18 ET"
ANAT,"Amer Natl Insurance",72,0.84999999999999,+1.19%,70.88,72.01,70.88,5871,"11:05 ET"
ANET,"Arista Networks Inc",209.94,3.03,+1.46%,207.5,212.44,207.2,256079,"11:21 ET"
ANSS,"Ansys Inc",288.72,6.59,+2.34%,282.69,288.72,279.99,65234,"11:21 ET"
ANTM,"Anthem Inc",260.38,1.11,+0.43%,259.75,262.97,256.74,248903,"11:21 ET"
AON,"AON Plc",191.28,3.06,+1.63%,187.69,191.79,186.15,251812,"11:21 ET"
AOS,"Smith [A.O.] Corp",47.08,0.64,+1.38%,46.24,47.08,46.14,149611,"11:21 ET"
APA,"Apache Corp",13.34,0.0099999999999998,+0.08%,13.08,13.47,12.87,3083886,"11:22 ET"
APD,"Air Products and Chemicals",238.67,0.059999999999974,+0.03%,236.16,239.14,236,114131,"11:21 ET"
APH,"Amphenol Corp",96.24,1.01,+1.06%,95.21,96.24,95.07,217760,"11:21 ET"
APLE,"Apple Hospitality REIT Inc",9.86,0.030000000000001,+0.30%,9.77,9.92,9.58,498955,"11:21 ET"
APTV,"Aptiv Plc",77.53,1.86,+2.46%,75.36,77.53,74.76,502762,"11:21 ET"
AR,"Antero Resources Corp",2.5,-0.0099999999999998,-0.40%,2.49,2.52,2.42,2765322,"11:19 ET"
ARD,"Ardagh Group S.A.",13.09,0.36,+2.83%,12.79,13.09,12.57,17226,"11:20 ET"
ARE,"Alexandria Real Estate Equities",163.05,1.42,+0.88%,161.97,163.27,161.21,91657,"11:21 ET"
ARMK,"Aramark Holdings Corp",22.6,0.19,+0.85%,22.45,22.68,21.64,298848,"11:21 ET"
ARNC,"Arconic Corp",13.91,0.07,+0.51%,13.83,13.99,13.38,235146,"11:21 ET"
ARW,"Arrow Electronics",68.06,0.64,+0.95%,67.31,68.22,67.06,44206,"11:11 ET"
ASB,"Associated Banc-Corp",13.6,0.17,+1.27%,13.23,13.61,13.19,309975,"11:20 ET"
ASH,"Ashland Global Holdings Inc",68.94,0.48,+0.70%,68.49,68.94,67.72,33000,"11:21 ET"
ATH,"Athene Holding Ltd",31.03,0.36,+1.17%,30.38,31.12,30.11,217121,"11:21 ET"
ATO,"Atmos Energy Corp",99.69,1.31,+1.33%,98.46,99.76,98.24,126548,"11:21 ET"
ATR,Aptargroup,111.19,1.94,+1.78%,109.13,111.23,109.13,31116,"11:19 ET"
ATUS,"Altice USA Inc Cl A",22.43,-0.21,-0.93%,22.66,22.67,22.16,1654830,"11:21 ET"
ATVI,"Activision Blizzard",76.41,0.91,+1.21%,75.69,76.41,75.4,1585249,"11:22 ET"
AVB,"Avalonbay Communities",154.64,1.64,+1.07%,152.72,155,151.87,125230,"11:21 ET"
AVGO,"Broadcom Ltd",314.21,4.43,+1.43%,309.95,315.5,306.75,572978,"11:22 ET"
AVLR,"Avalara Inc",132.8,-0.78999999999999,-0.59%,133.59,134.34,131.34,178711,"11:22 ET"
AVT,"Avnet Inc",27.89,0.82,+3.03%,27.08,27.9,26.76,133783,"11:21 ET"
AVTR,"Avantor Inc",17.19,0.69,+4.18%,16.54,17.33,16.5,1166612,"11:22 ET"
AVY,"Avery Dennison Corp",113.27,1.33,+1.19%,111.79,113.27,111.73,61527,"11:21 ET"
AWI,"Armstrong World Industries Inc",76.85,2.47,+3.32%,74.6,76.98,74.51,62868,"11:19 ET"
AWK,"American Water Works",127.48,2.11,+1.68%,125.47,127.58,122,190767,"11:17 ET"
AXP,"American Express Company",94.92,0.40000000000001,+0.42%,94.16,95.06,93.57,815601,"11:22 ET"
AXS,"Axis Capital Holdings",40.86,0.12,+0.29%,40.71,41.16,40.35,315635,"11:22 ET"
AXTA,"Axalta Coating Systems Ltd",22.29,0.12,+0.54%,22.09,22.31,21.89,298719,"11:22 ET"
AYI,"Acuity Brands Inc",96.77,7.44,+8.33%,100,104,93.1,516562,"11:21 ET"
AYX,"Alteryx Inc",162.82,2.33,+1.45%,160.12,162.82,158.68,427508,"11:20 ET"
AZO,Autozone,1122.34,-5.5800000000002,-0.49%,1128.1,1134.65,1111.58,40441,"11:21 ET"
AZPN,"Aspen Technology",103.03,-0.41,-0.40%,103.29,103.51,100.83,62337,"11:21 ET"
BA,"Boeing Company",183.88,-10.61,-5.46%,188.02,193,180.38,29918881,"11:22 ET"
BAC,"Bank of America Corp",23.69,0.3,+1.28%,23.2,23.72,23.1,15909237,"11:22 ET"
BAH,"Booz Allen Hamilton Holding Corp",77.19,1.41,+1.86%,75.86,77.44,75.78,193245,"11:18 ET"
BAX,"Baxter International Inc",85.22,0.98999999999999,+1.18%,84.16,85.41,83.74,1420164,"11:20 ET"
BBY,"Best Buy Company",88.15,1.82,+2.11%,86,88.22,85.63,904649,"11:22 ET"
BC,"Brunswick Corp",64.09,0.69,+1.09%,62.87,64.32,62.68,90605,"11:22 ET"
BDN,"Brandywine Realty Trust",11.28,0.02,+0.18%,11.19,11.3,10.91,1619660,"11:22 ET"
BDX,"Becton Dickinson and Company",233.97,1,+0.43%,232.59,234.56,231.06,354218,"11:20 ET"
BEN,"Franklin Resources",20.84,0.4,+1.96%,20.3,20.88,20.27,807957,"11:21 ET"
BERY,"Berry Global Group",44.23,0.52,+1.19%,43.42,44.29,43.25,96744,"11:21 ET"
BF.A,"Brown Forman Inc Cl A",57.66,0.66,+1.16%,56.98,57.96,56.58,11941,"11:17 ET"
BFAM,"Bright Horizons Family Solutions Inc",117.06,1.52,+1.32%,114.97,117.06,113.44,59028,"11:22 ET"
BF.B,"Brown Forman Inc Cl B",63.83,0.59,+0.93%,63.32,66.4,63.12,195543,"11:21 ET"
BG,"Bunge Ltd",41.06,0.25,+0.61%,40.85,41.1,40.3,168769,"11:18 ET"
BGCP,"Bgc Partners Cl A",2.71,-0.05,-1.81%,2.75,2.79,2.68,541415,"11:11 ET"
