Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AAOI,"Applied Optoelect",10.64,1.23,+13.07%,10.64,9.35,418518,"11:16 ET"
AAON,"Aaon Inc",54.23,0.56,+1.04%,54.32,53.27,23719,"11:01 ET"
AAT,"American Assets Trust",28.22,0.02,+0.07%,28.45,27.98,52851,"11:16 ET"
AAWW,"Atlas Air Ww",42.2,1.7,+4.20%,42.4,40.61,86507,"11:15 ET"
ABCB,"Ameris Bancorp",23.73,0.33,+1.41%,23.98,23.01,42442,"11:07 ET"
ABG,"Asbury Automotive Group Inc",77.99,-0.46000000000001,-0.59%,78.76,77.06,9560,"10:59 ET"
ABM,"ABM Industries Incorporated",36.7,0.21,+0.58%,36.74,35.98,40103,"11:16 ET"
ABTX,"Allegiance Banc CS",25.17,0.45,+1.82%,25.24,24.46,8485,"11:06 ET"
ACA,"Arcosa Inc",42.06,0.45,+1.08%,42.34,41.13,29170,"11:16 ET"
ACLS,"Axcelis Tech Inc",27.87,0.98,+3.64%,27.95,26.93,87439,"11:12 ET"
ADC,"Agree Realty Corp",65.71,0.64,+0.98%,65.82,64.92,94431,"11:16 ET"
ADTN,"Adtran Inc",10.76,-0.050000000000001,-0.46%,10.78,10.6,47392,"11:15 ET"
ADUS,"Addus Homecare Corp",90.85,-0.46000000000001,-0.50%,92.05,90.09,6818,"11:06 ET"
AEGN,"Aegion Corp",15.76,0.46,+3.01%,15.9,15.23,10813,"11:16 ET"
AEIS,"Advanced Energy",66.83,1.46,+2.23%,67.68,65.36,40246,"11:14 ET"
AEL,"American Equity Investment Life",24.6,1.19,+5.08%,24.83,23.1,231529,"11:16 ET"
AGYS,"Agilysys Inc",17.91,-0.18,-1.00%,18.23,17.54,15385,"11:09 ET"
AHH,"Armada Hoffler Properties Inc",9.89,0.15,+1.54%,9.97,9.6,38106,"11:16 ET"
AIN,"Albany International Corp",58.85,0.27,+0.46%,58.95,57.5,18485,"11:14 ET"
AIR,"AAR Corp",20.92,-0.079999999999998,-0.38%,21.33,20.06,104338,"11:15 ET"
AIT,"Applied Industrial Technologies",61.97,0.51,+0.83%,62.19,61.05,18728,"11:14 ET"
AJRD,"Aerojet Rocketdyne Holdings",40.24,-0.54,-1.32%,40.81,40.19,196448,"11:16 ET"
AKR,"Acadia Realty Trust",13.29,0.049999999999999,+0.38%,13.4,12.93,104647,"11:11 ET"
ALEX,"Alexander and Baldwin Inc",12.21,-0.069999999999999,-0.57%,12.4,11.85,52070,"11:11 ET"
ALG,"Alamo Group",102.55,1.5,+1.48%,102.55,99.89,5890,"11:07 ET"
ALGT,"Allegiant Travel Com",111.37,-0.25999999999999,-0.23%,111.63,106.94,42166,"11:11 ET"
ALRM,Alarm.com,64.69,0.93,+1.46%,64.94,63.45,81852,"11:13 ET"
AMAG,"Amag Pharmaceuticals",7.51,-0.03,-0.40%,7.52,7.31,35105,"11:11 ET"
AMBC,"Ambac Financial Group",14.25,0.23,+1.64%,14.28,13.93,36997,"11:15 ET"
AMN,"Amn Healthcare Services Inc",45.21,-0.6,-1.31%,45.86,45.07,107340,"11:15 ET"
AMPH,"Amphastar Pharma",22.19,0.07,+0.32%,22.34,21.82,43657,"11:10 ET"
AMSF,"Amerisafe Inc",61.54,0.59,+0.97%,61.7,60.97,4425,"11:10 ET"
AMWD,"Amer Woodmark Cp",73.82,1.1,+1.51%,74.19,70.31,15796,"11:13 ET"
ANDE,"Andersons Inc",13.66,0.11,+0.81%,13.68,13.31,19351,"11:07 ET"
ANF,"Abercrombie & Fitch Company",10.48,0.0099999999999998,+0.10%,10.61,10.22,311191,"11:16 ET"
ANGO,"Angiodynamics Inc",10.17,0.07,+0.69%,10.26,9.91,17227,"11:15 ET"
ANIK,"Anika Therapeutics",36.68,1.89,+5.43%,36.85,34.55,42554,"11:13 ET"
ANIP,"ANI Pharma Inc",32.21,1.01,+3.24%,32.29,30.89,18622,"11:15 ET"
APEI,"American Public Eduducation",29.36,0.23,+0.79%,29.68,28.94,7461,"11:07 ET"
APOG,"Apogee Entrpr Inc",23.33,-0.24,-1.02%,24.12,22.79,37241,"11:16 ET"
ARCB,"Arcbest Corp",26.03,0.61,+2.40%,26.19,25.31,40542,"11:16 ET"
ARI,"Apollo Commercial Real Estate",9.81,-0.049999999999999,-0.51%,9.85,9.54,330976,"11:15 ET"
ARLO,"Arlo Technologies Inc",2.61,-0.03,-1.14%,2.65,2.5,108811,"11:06 ET"
ARNC,"Arconic Corp",13.85,0.0099999999999998,+0.07%,13.99,13.38,225550,"11:16 ET"
AROC,"Archrock Inc",6.5,0.0099999999999998,+0.15%,6.55,6.36,230955,"11:15 ET"
ARR,"Armour Residential R",9.43,-0.07,-0.74%,9.52,9.25,215813,"11:16 ET"
ASIX,"Advansix Inc",11.56,-0.14,-1.20%,11.59,11.35,28269,"11:05 ET"
ASTE,"Astec Inds Inc",45.38,0.36,+0.80%,45.4,44.44,19425,"11:01 ET"
ATNI,"Atn International",61.17,2.81,+4.81%,61.17,58.38,6085,"11:00 ET"
AVA,"Avista Corp",36.46,0.98,+2.76%,36.52,35.39,77950,"11:14 ET"
AVAV,"Aerovironment Inc",79.5,1.18,+1.51%,79.64,77.33,36407,"11:13 ET"
AVD,"American Vanguard Corp",13.66,0.029999999999999,+0.22%,13.76,13.43,11964,"10:57 ET"
AWR,"American States Water Company",77.7,0.41,+0.53%,77.95,76.95,17489,"11:10 ET"
AX,"Axos Financial Inc",21.8,0.29,+1.35%,21.88,21.11,50405,"11:09 ET"
