Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
AXL,"American Axle & Manufacturing",7.57,-0.17,-2.20%,7.74,7.4,374349,"11:16 ET"
AZZ,"Azz Inc",34.36,0.27,+0.79%,34.37,33.84,11292,"11:07 ET"
B,"Barnes Group",39.32,-0.12,-0.30%,39.71,38.75,18138,"11:16 ET"
BANC,"First Pactrust Bancorp",10.71,0.27,+2.59%,10.74,10.26,25191,"11:16 ET"
BANR,"Banner Corp",38.24,0.91,+2.44%,38.47,36.79,35800,"11:14 ET"
BCC,"Boise Cascade L.L.C.",36.9,-0.060000000000002,-0.16%,37.15,36.32,26114,"11:15 ET"
BCEI,"Bonanza Creek Energy Inc",14.8,-0.049999999999999,-0.34%,14.85,14.35,25897,"11:07 ET"
BCOR,"Blucora Inc",11.35,0.39,+3.56%,11.42,10.74,89441,"11:12 ET"
BCPC,"Balchem Cp",94.81,0.48,+0.51%,95.17,93.39,16334,"11:01 ET"
BEAT,"Biotelemetry Inc",44.71,0.31,+0.70%,44.96,43.55,50272,"11:09 ET"
BELFB,"BEL Fuse Inc Cl B",10.48,0.15,+1.45%,10.5,10.01,6969,"11:12 ET"
BFS,"Saul Centers",32.12,0.44,+1.39%,32.14,30.95,14179,"11:06 ET"
BGG,"Briggs & Stratton Corp",1.36,0.03,+2.26%,1.385,1.31,991342,"11:10 ET"
BGS,"B&G Foods Holdings",24.35,-0.11,-0.45%,24.69,24.23,184909,"11:14 ET"
BHE,"Benchmark Electronics",21.53,0.39,+1.84%,21.53,21.07,15855,"11:11 ET"
BHLB,"Berkshire Hills Bancorp",11.03,0.059999999999999,+0.55%,11.19,10.73,142509,"11:15 ET"
BIG,"Big Lots",42.19,-0.95,-2.20%,43.44,41.94,580443,"11:16 ET"
BJRI,"Bj's Restaurants Inc",20.95,0.079999999999998,+0.38%,21.26,20.09,119960,"11:15 ET"
BKE,"Buckle Inc",15.65,0.15,+0.97%,15.83,15.33,105082,"11:15 ET"
BLD,"Topbuild Corp",114.5,2.76,+2.47%,114.7,111.95,91351,"11:15 ET"
BLMN,"Bloomin' Brands Inc",10.55,-0.049999999999999,-0.47%,10.65,10.09,832111,"11:16 ET"
BMI,"Badger Meter",62.7,1.63,+2.67%,62.85,61.47,15163,"11:12 ET"
BNED,"Barnes & Noble Education Inc C",1.55,-0.03,-1.90%,1.72,1.55,148358,"11:15 ET"
BOOM,"Dynamic Materials",27.08,0.069999999999997,+0.26%,27.32,26.39,14712,"11:09 ET"
BOOT,"Boot Barn Holdings Inc",21.57,-0.34,-1.55%,21.94,21.09,257560,"11:12 ET"
BPFH,"Boston Pvt Finl Hld",6.86,0.18,+2.69%,6.89,6.64,95465,"11:15 ET"
BRC,"Brady Corp",46.79,0.060000000000002,+0.13%,47.04,46.3,13150,"11:15 ET"
BRKL,"Brookline Bancorp",10.01,0.12,+1.21%,10.07,9.51,35753,"11:11 ET"
BRKS,"Brooks Automation",43.9,1.01,+2.35%,43.96,42.82,104697,"11:16 ET"
CADE,"Cadence Bancorp Cl A",8.69,0.13,+1.52%,8.72,8.35,195555,"11:15 ET"
CAL,"Caleres Inc",8.04,0.039999999999999,+0.50%,8.16,7.68,244585,"11:16 ET"
CALM,"Cal-Maine Foods IN",45,1.02,+2.32%,45.28,44.01,103944,"11:15 ET"
CAMP,"Calamp Corp",7.79,0.04,+0.52%,8.02,7.51,109119,"11:16 ET"
CASH,"Meta Financial Group",17.98,0.07,+0.39%,18.29,17.56,44279,"11:14 ET"
CATM,"Cardtronics Inc",24.51,0.38,+1.57%,24.69,23.75,46739,"11:16 ET"
CATO,"Cato Corp",8.28,0.28,+3.50%,8.47,7.92,133785,"11:16 ET"
CBB,"Cincinnati Bell Inc",14.9,0.0099999999999998,+0.07%,14.92,14.88,84618,"11:15 ET"
CBL,"Cbl & Associates Properties",0.2789,0.0089,+3.30%,0.287,0.2675,2413274,"11:13 ET"
CBU,"Community Bank System",56.77,1.02,+1.83%,57.08,55.19,40586,"11:16 ET"
CCOI,"Cogent Comm Hlds",76.44,-1.88,-2.40%,78.15,76.29,77745,"11:16 ET"
CCRN,"Cross Ctry Hlthcr",6.22,0.029999999999999,+0.48%,6.34,6.14,49327,"11:15 ET"
CCS,"Century Communities Inc",30.15,-0.13,-0.43%,30.47,29.65,50281,"11:14 ET"
CDR,"Cedar Shopping Centers Inc",1.02,0.01,+0.99%,1.05,1,232946,"11:14 ET"
CEIX,"Consol Energy Inc",5.02,-0.23,-4.38%,5.32,5,129245,"11:15 ET"
CENT,"Central Garden",35.79,-0.42,-1.16%,36.42,35.75,8202,"11:14 ET"
CENTA,"Central Garden & Pet",33.67,-0.39,-1.15%,34.34,33.65,18039,"11:14 ET"
CENX,"Century Aluminum C",6.83,-0.13,-1.87%,6.96,6.68,255778,"11:15 ET"
CEVA,"Ceva Inc",37.23,1.22,+3.39%,37.31,36.31,20397,"11:16 ET"
CHCO,"City Holding Company",65.41,1.88,+2.96%,65.65,62.69,24281,"11:14 ET"
CHCT,"Community Healthcare Trust Inc",41.01,-0.15,-0.36%,41.72,40.37,23191,"11:09 ET"
CHEF,"The Chefs Warehouse",13.69,-0.15,-1.08%,13.96,13.32,119081,"11:16 ET"
CHRS,"Coherus Bio",17.61,0.28,+1.62%,17.61,17.12,112113,"11:15 ET"
CHS,"Chico's Fas",1.36,0.03,+2.26%,1.4,1.335,646333,"11:15 ET"
CHUY,"Chuy's Holdings Inc",14.97,0.020000000000001,+0.13%,15.11,14.49,15858,"11:01 ET"
CIR,"Circor International",24.83,0.4,+1.64%,25.14,23.69,29071,"11:12 ET"
CKH,"Seacor Smit Inc",28.28,0.010000000000002,+0.04%,28.55,27.83,13832,"11:15 ET"
CLB,"Core Laboratories N.V.",19.69,0.32,+1.65%,19.74,18.77,99625,"11:15 ET"
CLDT,"Chatham Lodging Trust [Reit]",6.13,-0.08,-1.29%,6.5,5.97,44855,"11:15 ET"
CLF,"Cleveland-Cliffs Inc",5.43,0.029999999999999,+0.56%,5.44,5.27,1522813,"11:15 ET"
CLW,"Clearwater Paper Corp",35.12,-0.27,-0.76%,35.47,34.66,11959,"11:15 ET"
CMO,"Capstead Mortgage Corp",5.57,0.03,+0.54%,5.6,5.46,110228,"11:14 ET"
CMTL,"Comtech Telecom Company",16.69,0.27,+1.64%,16.81,16.32,71682,"11:11 ET"
CNMD,"C O N M E D Cp",70.14,0.73,+1.05%,70.14,68.43,15546,"11:10 ET"
CNSL,"Consolidated Communications Holdings Inc",6.6,0.21,+3.29%,6.6,6.37,39516,"11:05 ET"
CNXN,"PC Connection Inc",47.2,0.050000000000004,+0.11%,47.65,46.91,10820,"11:01 ET"
COHU,"Cohu Inc",16.75,-0.030000000000001,-0.18%,16.99,16.49,40876,"11:16 ET"
COKE,"Coca Cola Bot Cons",232.23,0.41999999999999,+0.18%,232.99,228,2128,"10:53 ET"
COLB,"Columbia Banking Sys",28.22,0.52,+1.88%,28.38,27.42,31333,"11:14 ET"
CONN,"Conn's Inc",9.88,0.2,+2.07%,10.07,9.47,79009,"11:15 ET"
CORE,"Core Mark Holding",24.93,0.15,+0.61%,25.02,24.58,13000,"11:15 ET"
CORT,"Corcept Therapeutics",16.83,0.079999999999998,+0.48%,17.03,16.59,114511,"11:15 ET"
CPE,"Callon Petroleum Company",1.155,0.015,+1.32%,1.155,1.11,4722218,"11:14 ET"
CPF,"Central Pacific Financial Company",15.88,0.19,+1.21%,16,15.49,15445,"11:16 ET"
CPRI,"Capri Holdings Ltd",15.76,0.1,+0.64%,15.93,15.12,578263,"11:16 ET"
CPS,"Cooper Std Hld Inc",13.89,-0.22,-1.56%,14.23,13.36,24064,"11:16 ET"
CPSI,"Computer Programs",22.47,0.45,+2.04%,22.47,21.77,7828,"11:09 ET"
CRMT,"America's Car-Mart",86.36,1.2,+1.41%,86.52,84.19,4288,"11:13 ET"
CROX,"Crocs Inc",35.88,0.81,+2.31%,36.57,35.36,468284,"11:15 ET"
CRVL,"Corvel Cp",72.21,-0.34,-0.47%,72.93,71.7,11685,"11:11 ET"
CRY,Cryolife,18.8,-0.29,-1.52%,19.08,18.78,26009,"11:15 ET"
CSGS,"C S G Sys Intl",41.69,-0.12,-0.29%,44.45,41,27619,"11:15 ET"
CSII,"Cardiovascular Syst",31.1,0.11,+0.35%,31.3,30.9,29022,"11:16 ET"
CTB,"Cooper Tire & Rubber Company",27.57,0.059999999999999,+0.22%,27.76,27.08,29193,"11:15 ET"
CTRE,"Caretrust REIT Inc",17.64,0.47,+2.74%,17.71,16.66,714042,"11:16 ET"
CTS,"Cts Corp",20.08,0.18,+0.90%,20.09,19.69,11104,"11:10 ET"
CUB,"Cubic Corp",48.28,0.32,+0.67%,48.49,47.26,43298,"11:14 ET"
CUBI,"Customers Bancorp",11.73,0.14,+1.21%,11.73,11.36,39294,"11:14 ET"
CUTR,"Cutera Inc",11.89,-0.18,-1.49%,12.29,11.73,16758,"11:15 ET"
CVBF,"Cvb Financial Corp",18.77,0.37,+2.01%,18.89,18.25,141800,"11:15 ET"
CVCO,"Cavco Inds Inc",192.59,-3.39,-1.73%,196.07,190.13,6360,"11:11 ET"
CVET,"Covetrus Inc",17.5,0.12,+0.69%,17.79,17,155711,"11:15 ET"
CVGW,"Calavo Growers Inc",62.36,0.8,+1.30%,62.54,61.67,9501,"11:00 ET"
CWT,"California Water Service Group Holding",47,0.61,+1.31%,47.07,46.29,16062,"11:10 ET"
CYH,"Community Health Systems",3.02,0.02,+0.67%,3.08,2.89,375320,"11:13 ET"
CYTK,Cytokinetics,23.59,-0.11,-0.47%,23.8,23.2,40188,"11:16 ET"
DAKT,"Daktronics Inc",4.28,-0.0099999999999998,-0.23%,4.32,4.25,10442,"10:58 ET"
DBD,"Diebold Nixdorf Inc",6.01,0.12,+2.04%,6.06,5.82,156474,"11:13 ET"
DBI,"Designer Brands Inc",6.59,0.07,+1.07%,6.74,6.36,344611,"11:16 ET"
DCOM,"Dime Community Bncsh",13.6,0.19,+1.42%,13.73,13.14,20976,"11:15 ET"
DDD,"3D Systems Corp",7.01,0.19,+2.79%,7.07,6.81,534421,"11:15 ET"
DEA,"Easterly Government Properties",23.05,0.050000000000001,+0.22%,23.14,22.86,94844,"11:16 ET"
DFIN,"Donnelly Financial Solutions Inc",8.34,0.16,+1.96%,8.37,8.16,24925,"11:14 ET"
DGII,"Digi Intl Inc",11.31,0.13,+1.16%,11.36,11.12,37525,"11:14 ET"
DHC,"Diversified Healthcare Trust",4.44,0.04,+0.91%,4.47,4.31,181478,"11:14 ET"
DIN,"Dineequity Inc",42.28,-0.23,-0.54%,43.62,41.05,231890,"11:15 ET"
DIOD,"Diodes Inc",50.55,1.04,+2.10%,50.68,49.3,30057,"11:14 ET"
DNR,"Denbury Resources",0.3102,-0.0298,-8.76%,0.33,0.31,8303326,"11:16 ET"
DORM,"Dorman Products Inc",67.25,0.38,+0.57%,67.63,66.64,8017,"11:15 ET"
DRH,"Diamondrock Hospitality Company",5.5,0.14,+2.61%,5.53,5.26,833778,"11:15 ET"
DRQ,Dril-Quip,29.32,-0.050000000000001,-0.17%,29.49,28.73,43246,"11:14 ET"
DSPG,"D S P Group Inc",15.93,0.29,+1.85%,16.07,15.73,16505,"11:15 ET"
DXPE,"Dxp Enterprise",19.83,0.059999999999999,+0.30%,20,19.29,10571,"11:15 ET"
EBIX,"Ebix Inc",22.18,0.29,+1.32%,22.27,21.66,38565,"11:07 ET"
EBS,"Emergent Biosolutions",77.19,1.76,+2.33%,77.39,75.42,116490,"11:14 ET"
ECHO,"Echo Global Logistic",21.68,0.45,+2.12%,21.69,21.18,7773,"11:15 ET"
ECOL,"US Ecology Inc",32.94,0.34,+1.04%,33.14,32.4,17004,"11:14 ET"
ECPG,"Encore Capital Group",34.42,0.34,+1.00%,34.74,33.78,58004,"11:16 ET"
EE,"El Paso Electric Company",66.8,0.069999999999993,+0.10%,66.84,66.63,58889,"11:10 ET"
EGBN,"Eagle Bancorp Inc",32.64,0.95,+3.00%,32.75,31.64,22021,"11:15 ET"
EGHT,"8X8 Inc",15.78,0.42,+2.73%,15.84,15.21,192146,"11:15 ET"
EGOV,"Nic Inc",23,0.09,+0.39%,23.15,22.86,44892,"11:14 ET"
EGRX,"Eagle Pharmaceuticals",47.45,-0.57,-1.19%,48.58,47.22,10383,"11:15 ET"
EHTH,"Ehealth Inc",96.07,0.8,+0.84%,97.81,94.89,133023,"11:16 ET"
EIG,"Employers Holdings Inc",30.43,0.32,+1.06%,30.72,29.98,16220,"11:12 ET"
ELY,"Callaway Golf Company",17.46,-0.23,-1.30%,18,17.2,283952,"11:16 ET"
ENDP,"Endo Int'l Plc",3.39,-0.08,-2.31%,3.51,3.38,942676,"11:15 ET"
ENSG,"The Ensign Group IN",41.37,0.89,+2.20%,41.4,40.17,26130,"11:15 ET"
ENTA,"Enanta Pharmaceutica",49.1,0.060000000000002,+0.12%,49.74,48.21,11712,"11:06 ET"
ENVA,"Enova International Inc",14.75,-0.21,-1.40%,15.08,14.53,30087,"11:15 ET"
EPAC,"Actuant Corp",17.54,-0.23,-1.29%,17.79,17.33,36361,"11:11 ET"
EPAY,"Bottomline Tech IN",50.35,1.01,+2.05%,50.45,49.47,17587,"11:11 ET"
EPRT,"Essential Properties Realty Trust Inc",14.99,-0.16,-1.06%,15.15,14.73,464089,"11:15 ET"
ESE,"Esco Technologies Inc",84.93,1.21,+1.45%,85.15,82.84,17432,"11:12 ET"
ETH,"Ethan Allen Interiors Inc",11.78,0.18,+1.55%,11.8,11.51,37490,"11:06 ET"
EVTC,"Evertec Inc",27.89,0.23,+0.83%,27.96,27.53,16870,"11:15 ET"
EXLS,"Exlservice Holdings",62.36,-0.15,-0.24%,62.77,62.1,16104,"11:15 ET"
EXPO,"Exponent Inc",79.98,0.79000000000001,+1.00%,80,79.19,42927,"11:16 ET"
EXPR,"Express Inc",1.54,0.03,+1.99%,1.56,1.47,502077,"11:07 ET"
EXTN,"Exterran Corp",5.35,-0.050000000000001,-0.93%,5.48,5.26,26049,"11:06 ET"
EXTR,"Extreme Networks",4.32,0.02,+0.47%,4.33,4.22,99740,"11:11 ET"
EZPW,"Ezcorp Inc",6.36,0.090000000000001,+1.44%,6.37,6.22,61601,"11:16 ET"
FARO,"Faro Tech Inc",53.86,0.34,+0.64%,54,52.71,30738,"11:16 ET"
FBC,"Flagstar Bancorp",28.85,0.39,+1.37%,29.02,28.44,48162,"11:16 ET"
FBM,"Foundation Building Materials Inc",15.51,-0.21,-1.34%,15.99,15.36,29011,"11:13 ET"
FBP,"First Bancorp",5.59,0.1,+1.82%,5.63,5.4,210956,"11:13 ET"
FCF,"First Commonwealth Financial Corp",8.18,0.17,+2.12%,8.25,7.94,80471,"11:14 ET"
FCPT,"Four Corners Property Trust IN",24.3,0.15,+0.62%,24.43,23.92,49960,"11:16 ET"
FDP,"Fresh Del Monte Produce",24.67,0.48,+1.98%,24.7,24.14,20443,"11:15 ET"
FELE,"Franklin Electric Company",52.41,0.3,+0.58%,52.79,51.87,14060,"11:15 ET"
FF,"Futurefuel Corp",11.77,-0.2,-1.67%,11.87,11.57,18056,"11:09 ET"
FFBC,"First Finl Bncp [Oh]",13.76,0.14,+1.03%,13.94,13.43,47896,"11:14 ET"
FIX,"Comfort Systems USA",40.37,0.34999999999999,+0.87%,40.64,39.52,27704,"11:16 ET"
FIZZ,"Natl Beverage Cp",60.96,-0.12,-0.20%,62.11,60.88,25935,"11:14 ET"
FLOW,"SPX Flow Inc",37.06,0.68,+1.87%,37.11,35.92,17573,"11:16 ET"
FMBI,"First Midwest Bncp",13.34,0.15,+1.14%,13.45,13.04,49286,"11:16 ET"
FN,Fabrinet,61.46,1.26,+2.09%,61.6,60.1,52053,"11:11 ET"
FOE,"Ferro Corp",11.89,0.050000000000001,+0.42%,11.93,11.71,65167,"11:14 ET"
FORM,"Formfactor Inc",28.94,0.84,+2.99%,29.16,28.1,76589,"11:16 ET"
FORR,"Forrester Resrch",31.53,-0.07,-0.22%,31.85,31.34,3844,"10:51 ET"
FOSL,"Fossil Group",4.53,0.06,+1.34%,4.55,4.31,169049,"11:10 ET"
FOXF,"Fox Factory Cp",83.45,1.82,+2.23%,84.83,80.21,71571,"11:14 ET"
FRGI,"Fiesta Restaurant Gp",6.33,-0.06,-0.94%,6.39,6.15,35644,"11:16 ET"
FSB,"Franklin Financial Network Inc",25.47,0.46,+1.84%,25.61,24.82,15984,"11:11 ET"
FSP,"Franklin Street Properties",5.06,0.029999999999999,+0.60%,5.13,4.97,52991,"11:15 ET"
FSS,"Federal Signal Corp",29.82,0.27,+0.91%,29.88,29.35,27989,"11:10 ET"
FUL,"H. B. Fuller Company",44.67,0.24,+0.54%,44.85,43.75,109046,"11:16 ET"
FWRD,"Foward Air Corp",49.84,0.8,+1.63%,49.91,48.8,5882,"11:14 ET"
GBCI,"Glacier Bancorp Inc",35.06,0.45,+1.30%,35.2,34.19,74434,"11:16 ET"
GBX,"Greenbrier Companies",22.64,0.050000000000001,+0.22%,22.84,22.22,35739,"11:14 ET"
GCI,"Gannett Co. Inc.",1.42,-0.04,-2.74%,1.47,1.4,508588,"11:15 ET"
GCO,"Genesco Inc",21,0.039999999999999,+0.19%,21.3,20.23,30555,"11:16 ET"
GCP,"Gcp Applied Technologies Inc C",18.5,0.54,+3.01%,18.53,17.82,117621,"11:15 ET"
GDOT,"Green Dot Corp",48.32,0.32,+0.67%,48.44,47,92356,"11:15 ET"
GEOS,"Geospace Technologie",7.97,-0.04,-0.50%,8.08,7.75,15631,"11:10 ET"
GES,"Guess Inc",9.77,0.12,+1.24%,9.86,9.33,436981,"11:15 ET"
GFF,"Griffon Corp",18.34,0.31,+1.72%,18.34,17.84,10159,"11:01 ET"
GHL,"Greenhill & Co. Inc",10.02,0.02,+0.20%,10.19,9.73,6298,"11:16 ET"
GIII,"G-III Apparel Gp",13.21,-0.069999999999999,-0.53%,13.45,12.74,126642,"11:16 ET"
GKOS,"Glaukos Corp",37.99,-0.19,-0.50%,38.71,37.79,34361,"11:15 ET"
GLT,Glatfelter,15.86,0.15,+0.95%,15.92,15.65,25304,"11:11 ET"
GLUU,"Glu Mobile Inc",9.27,0.09,+0.98%,9.35,9.13,473015,"11:16 ET"
GME,"Gamestop Corp",4.33,-0.05,-1.14%,4.51,4.31,725651,"11:16 ET"
GMS,"Gms Inc",24.37,0.75,+3.18%,24.62,23.55,58977,"11:16 ET"
GNL,"Global Net Lease Inc",16.62,0.21,+1.28%,16.66,16.29,51845,"11:15 ET"
GPI,"Group 1 Automotive",65.22,-0.16,-0.24%,66.52,64.6,60675,"11:14 ET"
GPMT,"Granite Point Mortgage Trust Inc",7.21,-0.13,-1.77%,7.4,7.08,218102,"11:14 ET"
GPOR,"Gulfport Energy Corp",1.06,0.04,+3.92%,1.1,1,1089968,"11:15 ET"
GPRE,"Green Plains Inc",10,-0.1,-0.99%,10.1,9.77,98547,"11:15 ET"
GTLS,"Chart Industries IN",47.88,0.68,+1.44%,48.37,46.43,99165,"11:14 ET"
GTX,"Garrett Motion Inc",5.34,-0.06,-1.11%,5.51,5.23,177489,"11:16 ET"
GTY,"Getty Realty Corp",30.03,0.36,+1.21%,30.03,29.21,17065,"11:12 ET"
GVA,"Granite Construction Inc",19.2,-0.02,-0.10%,19.35,18.82,78304,"11:16 ET"
GWB,"Great Western Bancorp Inc",13.69,-0.1,-0.73%,13.76,13.28,97706,"11:16 ET"
HA,"Hawaiian Hlds Inc",14.02,-0.25,-1.75%,14.39,13.7,209921,"11:15 ET"
HAFC,"Hanmi Financial Cp",9.74,0.08,+0.83%,9.87,9.35,44274,"11:16 ET"
HAYN,"Haynes Intl Inc",23.63,-0.22,-0.92%,24.09,22.95,7726,"11:15 ET"
HCC,"Warrior Met Coal Inc",15.33,0.040000000000001,+0.26%,15.51,14.9,139084,"11:15 ET"
HCI,"Homeowners Choice",45.92,0.54,+1.19%,45.95,44.99,6030,"11:08 ET"
HFWA,"Heritage Financial",20.13,0.3,+1.51%,20.3,19.18,25908,"11:14 ET"
HI,"Hillenbrand Inc",26.94,0.33,+1.24%,27.12,26.35,42598,"11:15 ET"
HIBB,"Hibbett Sports Inc",21.17,0.020000000000003,+0.09%,21.3,20.89,41365,"11:15 ET"
HLIT,"Harmonic Inc",4.79,-0.04,-0.83%,4.88,4.72,90948,"11:15 ET"
HLX,"Helix Energy Solutions Group",3.47,-0.06,-1.70%,3.52,3.3,1064429,"11:15 ET"
HMN,"Horace Mann Educators Corp",36.19,0.27,+0.75%,36.26,35.59,11962,"11:00 ET"
HMST,"Homestreet Inc",24.45,0.4,+1.66%,24.51,23.62,11363,"11:14 ET"
HMSY,"Hms Hlds Cp",31.65,0.16,+0.51%,31.68,31.39,34892,"11:12 ET"
HNGR,"Hanger Inc",16.35,-0.39,-2.33%,16.73,16.11,10638,"11:07 ET"
HOPE,"Hope Bancorp Inc",9.16,0.18,+2.00%,9.2,8.92,243822,"11:14 ET"
HP,"Helmerich & Payne",19.32,0.17,+0.89%,19.49,18.68,257022,"11:16 ET"
HPR,"Highpoint Resources Corp",0.3017,-0.0083,-2.68%,0.32,0.29,1958892,"11:07 ET"
HSC,"Harsco Corp",13.42,0.27,+2.05%,13.6,13.02,120984,"11:14 ET"
HSII,"Heidrick & Struggl",21.89,0.54,+2.53%,21.99,21.36,6898,"11:07 ET"
HSKA,"Heska Corp",92.81,1.65,+1.81%,93.26,81.98,6189,"10:56 ET"
HSTM,"Healthstream Inc",21.7,0.26,+1.21%,21.74,21.38,14176,"11:09 ET"
HT,"Hersha Hospitality Trust",5.95,0.1,+1.71%,6.01,5.7,117785,"11:14 ET"
HTLD,"Heartland Express",20.79,0.3,+1.46%,20.79,20.42,37215,"11:13 ET"
HUBG,"Hub Group Inc A",47.7,1.01,+2.16%,47.7,46.54,22615,"11:10 ET"
HVT,"Haverty Furniture Companies",16.16,0.02,+0.12%,16.39,15.94,13084,"11:13 ET"
HWKN,"Hawkins Inc",43.68,0.39,+0.90%,43.77,42.7,5911,"10:59 ET"
HZO,"Marinemax Inc",22.49,0.34,+1.53%,22.69,21.99,25925,"11:16 ET"
IBP,"Installed Building Products",68.24,0.91,+1.35%,68.45,66.55,24491,"11:12 ET"
