Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
ICLR,"Icon Plc",165.51,3.02,+1.86%,162.98,166.16,160.8,34307,"11:21 ET"
ICPT,"Intercept Pharmaceuticals",46.3,-0.40000000000001,-0.86%,47,47.33,45.46,1505554,"11:24 ET"
ICUI,"I C U Medical Inc",181.51,1.35,+0.75%,180.4,181.78,179.3,25041,"11:22 ET"
IDCC,"Interdigital Inc",57.08,-0.15,-0.26%,56.85,57.25,56.3,37197,"11:20 ET"
IDXX,"Idexx Laboratories",329.27,1.37,+0.42%,327.61,330,324.38,167718,"11:23 ET"
IEP,"Icahn Enterprises",47.95,0.090000000000003,+0.19%,47.72,48.1,47.7,22373,"11:23 ET"
IFRX,"Fireman B.V.",4.62,-0.21,-4.35%,4.88,4.95,4.59,147615,"11:25 ET"
IGMS,"Igm Biosciences Inc",68.92,0.98,+1.44%,68,69.11,67.92,26442,"11:10 ET"
IIVI,"I I V I Inc",47.3,-1.09,-2.25%,45.25,48.5,45.06,1571196,"11:25 ET"
ILMN,"Illumina Inc",366.12,3.81,+1.05%,362.31,366.33,358.18,169866,"11:24 ET"
ILPT,"Industrial Logistics Properties Trust",20.66,0.43,+2.13%,20.21,20.76,20.21,58876,"11:22 ET"
IMGN,"Immunogen Inc",4.59,0.21,+4.79%,4.33,4.59,4.29,721501,"11:23 ET"
IMMU,"Immunomedics Inc",34.78,0.55,+1.61%,34.17,34.97,33.79,562645,"11:25 ET"
INBK,"First Internet Bcp",16.87,0.4,+2.43%,16.49,16.87,16.06,7642,"11:22 ET"
INCY,"Incyte Corp",102.93,0.45,+0.44%,102.53,103.49,101.67,195733,"11:23 ET"
INDB,"Independent Bk Corp",66.51,2.02,+3.13%,64.58,66.8,63.5,23643,"11:23 ET"
INFN,"Infinera Corp",5.94,0.11,+1.89%,5.85,5.95,5.75,382959,"11:25 ET"
INMD,"Inmode Ltd",27.98,0.09,+0.32%,27.64,28.21,27.25,136781,"11:22 ET"
INOV,"Inovalon Hlds Cm A",19.05,0.55,+2.97%,18.38,19.06,18.38,87947,"11:23 ET"
INSM,"Insmed Inc",27.29,0.43,+1.60%,26.86,27.43,26.77,94187,"11:23 ET"
INTC,"Intel Corp",59.51,1.24,+2.13%,58.71,59.81,58.3,6383456,"11:25 ET"
INTU,"Intuit Inc",293.77,5.85,+2.03%,289.15,294.02,288,230023,"11:25 ET"
INVA,"Innoviva Inc",14.03,-0.12,-0.85%,14.07,14.15,13.86,86090,"11:22 ET"
IONS,"Ionis Pharmaceuticals",58.95,-0.45,-0.76%,59.06,59.58,58.31,183605,"11:25 ET"
IOSP,"Innospec Inc",76.48,1,+1.32%,74.97,76.52,74.3,12968,"11:17 ET"
IOVA,"Iovance Biotherapeutics Inc",27.29,0.079999999999998,+0.29%,27.39,27.8,26.34,516969,"11:25 ET"
IPAR,"Inter Parfums Inc",47.84,0.3,+0.63%,47.53,48.22,47.08,16563,"11:15 ET"
IPGP,"Ipg Photonics Corp",161.38,4.22,+2.69%,157.53,161.44,157.34,37769,"11:15 ET"
IQ,"Iqiyi Inc ADR",23.14,-0.12,-0.52%,23.44,23.53,23.04,1282704,"11:25 ET"
IRBT,"Irobot Corp",85.3,1.49,+1.78%,83.54,85.33,83,101511,"11:25 ET"
IRDM,"Iridium Comm Inc",24.96,0.12,+0.48%,24.76,25.06,24.39,96847,"11:24 ET"
IRTC,"Irhythm Technologies Inc",115.2,0.23,+0.20%,114.66,118.38,112.73,28533,"11:24 ET"
IRWD,"Ironwood Pharmaceuti",10.25,0.07,+0.69%,10.14,10.25,10.06,148518,"11:23 ET"
ISBC,"Investors Bancorp",8.4,0.15,+1.82%,8.17,8.43,8.01,211345,"11:23 ET"
ISRG,"Intuitive Surg Inc",565.32,11.55,+2.09%,554.65,565.55,551.98,126483,"11:25 ET"
ISTR,"Investar Holding",14.35,-0.11,-0.76%,14.24,14.46,14.24,2334,"11:10 ET"
ITCI,"Intra-Cellular Ther",25.46,0.28,+1.11%,24.88,25.46,24.69,213692,"11:23 ET"
ITRI,"Itron Inc",66.6,2.01,+3.11%,64.52,66.7,63.92,33369,"11:23 ET"
ITRN,"Ituran Location",15.99,-0.24,-1.48%,16.09,16.12,15.71,12216,"11:09 ET"
JACK,"Jack IN The Box Inc",73.91,0.34999999999999,+0.48%,73,74.07,72.11,57365,"11:20 ET"
JAZZ,"Jazz Pharma Plc",108.75,-0.83,-0.76%,109.76,110.36,107.54,131957,"11:24 ET"
JBHT,"J B Hunt Transport",120.63,0.55,+0.46%,119.86,120.68,119.67,63622,"11:24 ET"
JBLU,"Jetblue Airways Cp",10.91,-0.15,-1.36%,10.9,11.13,10.59,5385120,"11:24 ET"
JCOM,"J2 Global Inc",66.21,-3.29,-4.73%,64.63,67.8,61,1128973,"11:23 ET"
JD,"Jd.com Inc Ads",60.06,0.48,+0.81%,59.36,60.34,59.21,3331102,"11:25 ET"
JJSF,"J J Snack Foods",126.83,2.27,+1.82%,125.34,127.05,124.9,18099,"11:17 ET"
JKHY,"Jack Henry & Assoc",181.23,-0.25,-0.14%,180.88,183.1,180.88,92644,"11:24 ET"
JOBS,"51Job Inc",71.19,1.28,+1.83%,69.99,71.34,69.87,43067,"11:25 ET"
JRVR,"James River Gp HD",45.11,0.37,+0.83%,44.6,45.18,44.44,10289,"11:16 ET"
KALU,"Kaiser Aluminum",73.52,0.11999999999999,+0.16%,72.82,74.63,72.45,11440,"11:23 ET"
KALV,"Kalvista Pharmaceuticals Inc",12.49,-0.17,-1.34%,12.56,12.88,12.4,6973,"11:13 ET"
KBAL,"Kimball Intl Cl B",11.7,0.030000000000001,+0.26%,11.63,11.77,11.52,14668,"11:24 ET"
KELYA,"Kelly Svcs Cl A",15.79,0.41,+2.67%,15.26,15.79,15.16,32324,"11:25 ET"
KHC,"Kraft Heinz Company",31.84,0.2,+0.63%,31.64,31.92,31.5,1036667,"11:25 ET"
KLAC,"K L A-Tencor Corp",194.09,2.36,+1.23%,191.03,195.4,190.68,279515,"11:21 ET"
KLIC,"Kulicke and Soffa",20.41,0.21,+1.04%,20.27,20.81,20.27,384921,"11:24 ET"
KLXE,"Klx Energy Services Holdings Inc",2.12,-0.05,-2.30%,2.17,2.18,2.04,152814,"11:24 ET"
KNSA,"Kiniksa Pharmaceuticals Ltd",25.85,-0.15,-0.58%,26.97,27.3,25.39,162629,"11:18 ET"
KNSL,"Kinsale Capital Group Inc",155.84,4.07,+2.68%,156.12,157.13,154,50073,"11:21 ET"
KOD,"Kodiak Sciences Inc",56.19,2.5,+4.66%,53.91,56.21,53.14,56359,"11:23 ET"
