Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"IGT","INTERNATIONAL GAME TECHNOLOGY PLC","Equity","0.00","8.82","28,305.00","249,650.10","249,650.10","Consumer Discretionary","BVG7F06","GB00BVG7F061","New York Stock Exchange Inc."
"ATRA","ATARA BIOTHERAPEUTICS INC","Equity","0.00","13.84","18,084.00","250,282.56","250,282.56","Health Care","BP4WT09","US0465131078","NASDAQ"
"VIVO","MERIDIAN BIOSCIENCE INC","Equity","0.00","21.78","11,389.00","248,052.42","248,052.42","Health Care","2580265","US5895841014","NASDAQ"
"KTB","KONTOOR BRANDS INC","Equity","0.00","17.68","13,988.00","247,307.84","247,307.84","Consumer Discretionary","BJTJGC4","US50050N1037","New York Stock Exchange Inc."
"BRKL","BROOKLINE BANCORP INC","Equity","0.00","9.89","25,049.00","247,734.61","247,734.61","Financials","2967675","US11373M1071","NASDAQ"
"ADT","ADT INC","Equity","0.00","7.82","31,562.00","246,814.84","246,814.84","Industrials","BFWCP81","US00090Q1031","New York Stock Exchange Inc."
"PRA","PROASSURANCE CORP","Equity","0.00","14.24","17,330.00","246,779.20","246,779.20","Financials","2612737","US74267C1062","New York Stock Exchange Inc."
"FCF","FIRST COMMONWEALTH FINANCIAL CORP","Equity","0.00","8.01","30,811.00","246,796.11","246,796.11","Financials","2351546","US3198291078","New York Stock Exchange Inc."
"LLNW","LIMELIGHT NETWORKS INC","Equity","0.00","7.41","33,248.00","246,367.68","246,367.68","Information Technology","B1YB674","US53261M1045","NASDAQ"
"GTHX","G1 THERAPEUTICS INC","Equity","0.00","24.17","10,195.00","246,413.15","246,413.15","Health Care","BF0QXG9","US3621LQ1099","NASDAQ"
"EVER","EVERQUOTE INC CLASS A","Equity","0.00","58.04","4,250.00","246,670.00","246,670.00","Communication","BG88WS9","US30041R1086","NASDAQ"
"FDP","FRESH DEL MONTE PRODUCE INC","Equity","0.00","24.19","10,120.00","244,802.80","244,802.80","Consumer Staples","2118707","KYG367381053","New York Stock Exchange Inc."
"MRSN","MERSANA THERAPEUTICS INC","Equity","0.00","22.28","10,988.00","244,812.64","244,812.64","Health Care","BF3NP05","US59045L1061","NASDAQ"
"RWT","REDWOOD TRUST REIT INC","Equity","0.00","6.91","35,259.00","243,639.69","243,639.69","Financials","2730877","US7580754023","New York Stock Exchange Inc."
"TFSL","TFS FINANCIAL CORP","Equity","0.00","14.20","17,180.00","243,956.00","243,956.00","Financials","B1W8J67","US87240R1077","NASDAQ"
"INSG","INSEEGO CORP","Equity","0.00","11.76","20,654.00","242,891.04","242,891.04","Information Technology","BYWSY52","US45782B1044","NASDAQ"
"ECOL","US ECOLOGY INC","Equity","0.00","32.60","7,425.00","242,055.00","242,055.00","Industrials","BK4N2K8","US91734M1036","NASDAQ"
"ATRI","ATRION CORP","Equity","0.00","633.00","382.00","241,806.00","241,806.00","Health Care","2012735","US0499041053","NASDAQ"
"PIPR","PIPER SANDLER COMPANIES","Equity","0.00","57.80","4,191.00","242,239.80","242,239.80","Financials","2227089","US7240781002","New York Stock Exchange Inc."
"GEF","GREIF INC CLASS A","Equity","0.00","33.73","7,136.00","240,697.28","240,697.28","Materials","2388016","US3976241071","New York Stock Exchange Inc."
"TCBK","TRICO BANCSHARES","Equity","0.00","29.34","8,215.00","241,028.10","241,028.10","Financials","2904133","US8960951064","NASDAQ"
"NXRT","NEXPOINT RESIDENTIAL TRUST INC","Equity","0.00","34.36","7,020.00","241,207.20","241,207.20","Real Estate","BWC6PW6","US65341D1028","New York Stock Exchange Inc."
"CYRX","CRYOPORT INC","Equity","0.00","28.93","8,284.00","239,656.12","239,656.12","Health Care","BY2ZKK0","US2290503075","NASDAQ"
"NTGR","NETGEAR INC","Equity","0.00","24.43","9,841.00","240,415.63","240,415.63","Information Technology","2688363","US64111Q1040","NASDAQ"
"FOCS","FOCUS FINANCIAL PARTNERS INC CLASS","Equity","0.00","30.18","7,933.00","239,417.94","239,417.94","Financials","BF7J7H0","US34417P1003","NASDAQ"
"ATNX","ATHENEX INC","Equity","0.00","13.39","17,883.00","239,453.37","239,453.37","Health Care","BF04FC3","US04685N1037","NASDAQ"
"CWH","CAMPING WORLD HOLDINGS INC CLASS A","Equity","0.00","26.87","8,913.00","239,492.31","239,492.31","Consumer Discretionary","BDCBXH9","US13462K1097","New York Stock Exchange Inc."
"CMCO","COLUMBUS MCKINNON CORP","Equity","0.00","32.07","7,428.00","238,215.96","238,215.96","Industrials","2211071","US1993331057","NASDAQ"
"SMP","STANDARD MOTOR PRODUCTS INC","Equity","0.00","41.10","5,785.00","237,763.50","237,763.50","Consumer Discretionary","2838306","US8536661056","New York Stock Exchange Inc."
"ENDP","ENDO INTERNATIONAL PLC","Equity","0.00","3.46","68,495.00","237,335.17","237,335.17","Health Care","BJ3V905","IE00BJ3V9050","NASDAQ"
"NRC","NATIONAL RESEARCH CORP","Equity","0.00","56.16","4,231.00","237,612.96","237,612.96","Health Care","B8W3QK4","US6373722023","NASDAQ"
"SCHL","SCHOLASTIC CORP","Equity","0.00","30.01","7,869.00","236,148.69","236,148.69","Communication","2779234","US8070661058","NASDAQ"
"CCS","CENTURY COMMUNITIES INC","Equity","0.00","30.28","7,768.00","235,215.04","235,215.04","Consumer Discretionary","BN7ZZ47","US1565043007","New York Stock Exchange Inc."
"GSHD","GOOSEHEAD INSURANCE INC CLASS A","Equity","0.00","72.72","3,231.00","234,958.32","234,958.32","Financials","BZ2YT30","US38267D1090","NASDAQ"
"IRET","INVESTORS REAL ESTATE TRUST REIT","Equity","0.00","68.50","3,426.00","234,681.00","234,681.00","Real Estate","BFWQ204","US4617305093","New York Stock Exchange Inc."
"TTEC","TTEC HOLDINGS INC","Equity","0.00","44.55","5,246.00","233,709.30","233,709.30","Information Technology","BF950B1","US89854H1023","NASDAQ"
"FIZZ","NATIONAL BEVERAGE CORP","Equity","0.00","61.08","3,828.00","233,814.24","233,814.24","Consumer Staples","2638625","US6350171061","NASDAQ"
"SEAS","SEAWORLD ENTERTAINMENT INC","Equity","0.00","14.79","15,821.00","233,992.59","233,992.59","Consumer Discretionary","B84KWJ4","US81282V1008","New York Stock Exchange Inc."
"OFG","OFG BANCORP","Equity","0.00","13.01","17,849.00","232,215.49","232,215.49","Financials","B87LKR8","PR67103X1020","New York Stock Exchange Inc."
"GWB","GREAT WESTERN BANCORP INC","Equity","0.00","13.79","16,860.00","232,499.40","232,499.40","Financials","BRHZ1X6","US3914161043","New York Stock Exchange Inc."
"GFF","GRIFFON CORP","Equity","0.00","18.03","12,857.00","231,811.71","231,811.71","Industrials","2463344","US3984331021","New York Stock Exchange Inc."
"NNI","NELNET INC CLASS A","Equity","0.00","46.38","4,998.00","231,807.24","231,807.24","Financials","2196190","US64031N1081","New York Stock Exchange Inc."
"STC","STEWART INFO SERVICES CORP","Equity","0.00","32.46","7,103.00","230,563.38","230,563.38","Financials","2848736","US8603721015","New York Stock Exchange Inc."
"NBHC","NATIONAL BANK HOLDINGS CORP CLASS","Equity","0.00","26.53","8,668.00","229,962.04","229,962.04","Financials","B888DV3","US6337071046","New York Stock Exchange Inc."
"BPYU","BROOKFIELD PROPERTY REIT INC CLASS","Equity","0.00","10.18","22,532.00","229,263.10","229,263.10","Real Estate","BGHFKV0","US11282X1037","NASDAQ"
"CEVA","CEVA INC","Equity","0.00","36.01","6,359.00","228,987.59","228,987.59","Information Technology","2986937","US1572101053","NASDAQ"
"HA","HAWAIIAN HOLDINGS INC","Equity","0.00","14.27","15,989.00","228,163.03","228,163.03","Industrials","2408044","US4198791018","NASDAQ"
"SFL","SFL LTD","Equity","0.00","9.21","24,765.00","228,085.65","228,085.65","Energy","BJXT857","BMG7738W1064","New York Stock Exchange Inc."
"CRY","CRYOLIFE INC","Equity","0.00","19.09","11,916.00","227,476.44","227,476.44","Health Care","2239017","US2289031005","New York Stock Exchange Inc."
"BRBR","BELLRING BRANDS INC CLASS A","Equity","0.00","18.82","12,042.00","226,630.44","226,630.44","Consumer Staples","BK6V415","US0798231009","New York Stock Exchange Inc."
"FBNC","FIRST BANCORP","Equity","0.00","24.34","9,280.00","225,875.20","225,875.20","Financials","2351494","US3189101062","NASDAQ"
"PRIM","PRIMORIS SERVICES CORP","Equity","0.00","17.54","12,900.00","226,266.00","226,266.00","Industrials","B1GC200","US74164F1030","NASDAQ"
"UCTT","ULTRA CLEAN HOLDINGS INC","Equity","0.00","21.94","10,269.00","225,301.86","225,301.86","Information Technology","B00G0F2","US90385V1070","NASDAQ"
"VRTS","VIRTUS INVESTMENT PARTNERS INC","Equity","0.00","112.89","1,995.00","225,215.55","225,215.55","Financials","B3KKGQ8","US92828Q1094","NASDAQ"
"SEB","SEABOARD CORP","Equity","0.00","3,000.75","75.00","225,056.25","225,056.25","Consumer Staples","2786687","US8115431079","Nyse Mkt Llc"
"SWI","SOLARWINDS CORP","Equity","0.00","18.15","12,407.00","225,187.05","225,187.05","Information Technology","BG1VY34","US83417Q1058","New York Stock Exchange Inc."
"MYGN","MYRIAD GENETICS INC","Equity","0.00","11.02","20,463.00","225,502.26","225,502.26","Health Care","2614153","US62855J1043","NASDAQ"
"PHR","PHREESIA INC","Equity","0.00","27.05","8,338.00","225,542.90","225,542.90","Health Care","BKF9DQ8","US71944F1066","New York Stock Exchange Inc."
"RCKT","ROCKET PHARMACEUTICALS INC","Equity","0.00","21.09","10,695.00","225,557.55","225,557.55","Health Care","BDFKQ07","US77313F1066","NASDAQ"
"UPLD","UPLAND SOFTWARE INC","Equity","0.00","33.19","6,751.00","224,065.69","224,065.69","Information Technology","BS7K7H4","US91544A1097","NASDAQ"
"TROX","TRONOX HOLDINGS PLC","Equity","0.00","7.03","31,978.00","224,805.34","224,805.34","Materials","BJT16S6","GB00BJT16S69","New York Stock Exchange Inc."
"ACLS","AXCELIS TECHNOLOGIES INC","Equity","0.00","26.89","8,349.00","224,462.87","224,462.87","Information Technology","BD420Q8","US0545402085","NASDAQ"
"AIMT","AIMMUNE THERAPEUTICS INC","Equity","0.00","17.27","12,919.00","223,111.13","223,111.13","Health Care","BYVDTK8","US00900T1079","NASDAQ"
"HFWA","HERITAGE FINANCIAL CORP","Equity","0.00","19.83","11,256.00","223,206.48","223,206.48","Financials","2619880","US42722X1063","NASDAQ"
"ARVN","ARVINAS INC","Equity","0.00","31.95","7,005.00","223,809.75","223,809.75","Health Care","BDZ30Q0","US04335A1051","NASDAQ"
"OMER","OMEROS CORP","Equity","0.00","14.47","15,389.00","222,678.83","222,678.83","Health Care","B4NB858","US6821431029","NASDAQ"
"KRNY","KEARNY FINANCIAL TEST CORP","Equity","0.00","8.04","27,700.00","222,846.50","222,846.50","Financials","BY3H7G0","US48716P1084","NASDAQ"
"AIR","AAR CORP","Equity","0.00","21.00","10,542.00","221,382.00","221,382.00","Industrials","2001119","US0003611052","New York Stock Exchange Inc."
"GABC","GERMAN AMERICAN BANCORP INC","Equity","0.00","30.29","7,308.00","221,359.32","221,359.32","Financials","2502151","US3738651047","NASDAQ"
"SAFE","SAFEHOLD INC","Equity","0.00","55.85","3,969.00","221,668.65","221,668.65","Real Estate","BJ50QH6","US78645L1008","New York Stock Exchange Inc."
"OXM","OXFORD INDUSTRIES INC","Equity","0.00","42.86","5,181.00","222,057.66","222,057.66","Consumer Discretionary","2665300","US6914973093","New York Stock Exchange Inc."
"TCMD","TACTILE SYSTEMS TECHNOLOGY INC","Equity","0.00","41.27","5,305.00","218,937.35","218,937.35","Health Care","BZB1XF2","US87357P1003","NASDAQ"
"RYTM","RHYTHM PHARMACEUTICALS INC","Equity","0.00","21.79","9,984.00","217,551.36","217,551.36","Health Care","BF2YWG4","US76243J1051","NASDAQ"
"DIN","DINE BRANDS GLOBAL INC","Equity","0.00","42.51","5,134.00","218,246.34","218,246.34","Consumer Discretionary","2456957","US2544231069","New York Stock Exchange Inc."
"HRI","HERC HOLDINGS INC","Equity","0.00","30.43","7,133.00","217,057.19","217,057.19","Industrials","BZBZ020","US42704L1044","New York Stock Exchange Inc."
"ACCO","ACCO BRANDS CORP","Equity","0.00","6.93","31,298.00","216,895.14","216,895.14","Industrials","B0G7SZ5","US00081T1088","New York Stock Exchange Inc."
"PLOW","DOUGLAS DYNAMICS INC","Equity","0.00","35.20","6,168.00","217,113.60","217,113.60","Industrials","B3N5WD9","US25960R1059","New York Stock Exchange Inc."
"CRBP","CORBUS PHARMACEUTICALS HOLDINGS IN","Equity","0.00","7.91","27,448.00","217,113.68","217,113.68","Health Care","BRYGB65","US21833P1030","NASDAQ"
"FWONA","LIBERTY MEDIA FORMULA ONE CORP SER","Equity","0.00","29.71","7,270.00","215,991.70","215,991.70","Communication","BD72R64","US5312298707","NASDAQ"
"STAR","ISTAR REIT INC","Equity","0.00","11.97","17,975.00","215,160.75","215,160.75","Real Estate","2259190","US45031U1016","New York Stock Exchange Inc."
"RRR","RED ROCK RESORTS ORS CLASS A INC","Equity","0.00","10.78","19,967.00","215,244.26","215,244.26","Consumer Discretionary","BYY9947","US75700L1089","NASDAQ"
"NTUS","NATUS MEDICAL INC","Equity","0.00","21.45","9,969.00","213,835.05","213,835.05","Health Care","2771133","US6390501038","NASDAQ"
"OSPN","ONESPAN INC","Equity","0.00","26.98","7,934.00","214,059.32","214,059.32","Information Technology","BFNSSD4","US68287N1000","NASDAQ"
"KNL","KNOLL INC","Equity","0.00","12.77","16,785.00","214,344.45","214,344.45","Industrials","B051B48","US4989042001","New York Stock Exchange Inc."
"SPTN","SPARTANNASH","Equity","0.00","21.10","10,175.00","214,692.50","214,692.50","Consumer Staples","BN40158","US8472151005","NASDAQ"
"RAVN","RAVEN INDUSTRIES INC","Equity","0.00","21.00","10,139.00","212,919.00","212,919.00","Industrials","2725851","US7542121089","NASDAQ"
"ANF","ABERCROMBIE AND FITCH CLASS A","Equity","0.00","10.47","20,248.00","211,996.56","211,996.56","Consumer Discretionary","2004185","US0028962076","New York Stock Exchange Inc."
"GBX","GREENBRIER INC","Equity","0.00","22.59","9,418.00","212,752.62","212,752.62","Industrials","2387530","US3936571013","New York Stock Exchange Inc."
"INTL","INTL FCSTONE INC","Equity","0.00","53.57","3,940.00","211,065.80","211,065.80","Financials","2456441","US46116V1052","NASDAQ"
"AMRX","AMNEAL PHARMACEUTICALS INC CLASS A","Equity","0.00","4.67","45,365.00","211,854.55","211,854.55","Health Care","BFNF1D6","US03168L1052","New York Stock Exchange Inc."
"COHU","COHU INC","Equity","0.00","16.78","12,494.00","209,649.32","209,649.32","Information Technology","2208426","US1925761066","NASDAQ"
"RCUS","ARCUS BIOSCIENCES INC","Equity","0.00","23.63","8,873.00","209,668.99","209,668.99","Health Care","BDZT9Y9","US03969F1093","New York Stock Exchange Inc."
"CBB","CINCINNATI BELL INC","Equity","0.00","14.89","14,028.00","208,876.92","208,876.92","Communication","BD5CWW7","US1718715022","New York Stock Exchange Inc."
"PTEN","PATTERSON UTI ENERGY INC","Equity","0.00","3.46","60,396.00","208,970.16","208,970.16","Energy","2672537","US7034811015","NASDAQ"
"BOOT","BOOT BARN HOLDINGS INC","Equity","0.00","21.91","9,546.00","209,152.86","209,152.86","Consumer Discretionary","BRS6600","US0994061002","New York Stock Exchange Inc."
"LGFB","LIONS GATE ENTERTAINMENT NON VOTIN","Equity","0.00","6.82","30,532.00","208,228.24","208,228.24","Communication","BD8NB53","CA5359195008","New York Stock Exchange Inc."
"WSC","WILLSCOT CORP","Equity","0.00","13.12","15,856.00","208,030.72","208,030.72","Industrials","BF6QP89","US9713751264","NASDAQ"
"NMRK","NEWMARK GROUP INC CLASS A","Equity","0.00","4.73","43,998.00","208,110.54","208,110.54","Real Estate","BF1Q6P8","US65158N1028","NASDAQ"
"BANF","BANCFIRST CORP","Equity","0.00","39.05","5,319.00","207,680.36","207,680.36","Financials","2078782","US05945F1030","NASDAQ"
"GLNG","GOLAR LNG LTD","Equity","0.00","7.38","28,022.00","206,802.36","206,802.36","Energy","2367963","BMG9456A1009","NASDAQ"
"FFWM","FIRST FOUNDATION INC","Equity","0.00","15.80","13,118.00","207,198.81","207,198.81","Financials","BMMVY68","US32026V1044","NASDAQ"
"VCEL","VERICEL CORP","Equity","0.00","13.56","15,284.00","207,251.04","207,251.04","Health Care","BSBMN89","US92346J1088","NASDAQ"
"SPNS","SAPIENS INTERNATIONAL NV","Equity","0.00","26.48","7,764.00","205,590.72","205,590.72","Information Technology","BFYZGX0","KYG7T16G1039","NASDAQ"
"ICHR","ICHOR HOLDINGS LTD","Equity","0.00","24.91","8,253.00","205,582.23","205,582.23","Information Technology","BD2B5Y0","KYG4740B1059","NASDAQ"
"GOOD","GLADSTONE COMMERCIAL REIT CORP","Equity","0.00","18.60","11,069.00","205,883.40","205,883.40","Real Estate","2918479","US3765361080","NASDAQ"
"TPIC","TPI COMPOSITES INC","Equity","0.00","23.48","8,735.00","205,097.80","205,097.80","Industrials","BYYGK12","US87266J1043","NASDAQ"
"AMBC","AMBAC FINANCIAL GROUP INC","Equity","0.00","14.02","14,650.00","205,393.00","205,393.00","Financials","B7ZKH46","US0231398845","New York Stock Exchange Inc."
"IMKTA","INGLES MARKETS INC CLASS A","Equity","0.00","42.38","4,812.00","203,932.56","203,932.56","Consumer Staples","2460550","US4570301048","NASDAQ"
"OSUR","ORASURE TECHNOLOGIES INC","Equity","0.00","11.06","18,419.00","203,714.14","203,714.14","Health Care","2318790","US68554V1089","NASDAQ"
"REAL","THE REALREAL INC","Equity","0.00","12.83","15,893.00","203,907.19","203,907.19","Consumer Discretionary","BKBDP79","US88339P1012","NASDAQ"
"AGX","ARGAN INC","Equity","0.00","47.39","4,309.00","204,203.51","204,203.51","Industrials","2804501","US04010E1091","New York Stock Exchange Inc."
"WNC","WABASH NATIONAL CORP","Equity","0.00","10.70","18,954.00","202,807.80","202,807.80","Industrials","2932048","US9295661071","New York Stock Exchange Inc."
"AERI","AERIE PHARMACEUTICALS INC","Equity","0.00","14.91","13,606.00","202,865.46","202,865.46","Health Care","BFRTDG1","US00771V1089","NASDAQ"
"EFSC","ENTERPRISE FINANCIAL SERVICES CORP","Equity","0.00","29.88","6,756.00","201,869.28","201,869.28","Financials","2768889","US2937121059","NASDAQ"
"DENN","DENNYS CORP","Equity","0.00","10.23","19,742.00","201,960.66","201,960.66","Consumer Discretionary","2250580","US24869P1049","NASDAQ"
"CLBK","COLUMBIA FINANCIAL INC","Equity","0.00","13.61","14,789.00","201,278.29","201,278.29","Financials","BFMB9P3","US1976411033","NASDAQ"
"NTLA","INTELLIA THERAPEUTICS INC","Equity","0.00","20.42","9,874.00","201,627.08","201,627.08","Health Care","BYZM6C2","US45826J1051","NASDAQ"
"AR","ANTERO RESOURCES CORP","Equity","0.00","2.51","79,841.00","200,400.91","200,400.91","Energy","BFD2WR8","US03674X1063","New York Stock Exchange Inc."
"KURA","KURA ONCOLOGY INC","Equity","0.00","16.59","12,073.00","200,291.07","200,291.07","Health Care","BYZD465","US50127T1097","NASDAQ"
"INN","SUMMIT HOTEL PROPERTIES REIT INC","Equity","0.00","6.07","33,066.00","200,710.62","200,710.62","Real Estate","B3M7R64","US8660821005","New York Stock Exchange Inc."
"PSN","PARSONS CORP","Equity","0.00","35.47","5,660.00","200,760.20","200,760.20","Industrials","BJN4N02","US70202L1026","New York Stock Exchange Inc."
"ATNI","ATN INTERNATIONAL INC","Equity","0.00","58.36","3,418.00","199,474.48","199,474.48","Communication","BDC84D3","US00215F1075","NASDAQ"
"PETQ","PETIQ INC CLASS A","Equity","0.00","33.86","5,896.00","199,638.56","199,638.56","Health Care","BDH65C8","US71639T1060","NASDAQ"
"SXI","STANDEX INTERNATIONAL CORP","Equity","0.00","57.72","3,448.00","199,018.56","199,018.56","Industrials","2840174","US8542311076","New York Stock Exchange Inc."
"RDUS","RADIUS HEALTH INC","Equity","0.00","13.27","14,876.00","197,404.52","197,404.52","Health Care","BM68KK1","US7504692077","NASDAQ"
"IVR","INVESCO MORTGAGE CAPITAL REIT INC","Equity","0.00","3.57","55,003.00","196,360.71","196,360.71","Financials","B5ZW0F0","US46131B1008","New York Stock Exchange Inc."
"CWENA","CLEARWAY ENERGY INC CLASS A","Equity","0.00","20.92","9,359.00","195,790.28","195,790.28","Utilities","BGJRH35","US18539C1053","New York Stock Exchange Inc."
